,Pmult_strain4,Pmult_Kr154-4,Pmult_ThK-16,Pmult_R51-6,Pmult_L72-1,Pmult_CyP5-3,Pmult_OmN-1,Pmult_ChP10-2,Pfok_FCB10-1,Pfok_SMM81-1,Pfok_PL4-1,Pfok_T42-1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain6,Pfok_strain12,Plyn_SP-1,Plyn_HSG3-10,Plyn_SD11-9,Plyn_ShKm41,Plyn_TRB101-1,Plyn_PO16-1,Plyn_C8-2,Plyn_V105-1,Pcaud_Kr113-3,Pcaud_K5-2,Pcaud_CA,Pcaud_GB4-26
Pfok_PL4-1,1.883,1.883,1.883,1.789,1.789,1.977,1.883,1.789,0.0,0.0,0.0,0.094,0.094,0.094,0.188,0.942,5.54,5.54,5.728,5.446,5.446,5.352,5.352,5.352,5.352,5.446,5.164,4.977
Pfok_T42-1,1.977,1.977,1.977,1.883,1.883,2.072,1.977,1.883,0.094,0.094,0.094,0.0,0.188,0.188,0.282,1.036,5.634,5.634,5.822,5.54,5.54,5.446,5.446,5.446,5.446,5.54,5.258,5.07
Pfok_strain14,1.977,1.977,1.977,1.883,1.883,2.072,1.977,1.883,0.094,0.094,0.094,0.188,0.0,0.0,0.094,0.847,5.446,5.446,5.634,5.352,5.352,5.258,5.258,5.258,5.258,5.352,5.258,5.07
Pfok_CyL3-21,1.977,1.977,1.977,1.883,1.883,2.072,1.977,1.883,0.094,0.094,0.094,0.188,0.0,0.0,0.094,0.847,5.446,5.446,5.634,5.352,5.352,5.258,5.258,5.258,5.258,5.352,5.258,5.07
Pfok_strain6,2.072,2.072,2.072,1.977,1.977,2.166,2.072,1.977,0.188,0.188,0.188,0.282,0.094,0.094,0.0,0.942,5.54,5.54,5.728,5.446,5.446,5.352,5.352,5.352,5.352,5.446,5.352,5.164
Pfok_strain12,1.883,1.883,1.883,1.789,1.789,1.977,1.883,1.789,0.942,0.942,0.942,1.036,0.847,0.847,0.942,0.0,5.728,5.728,5.915,5.634,5.634,5.54,5.54,5.54,5.634,5.728,5.634,5.446
Plyn_SP-1,5.728,5.728,5.728,5.822,5.822,5.728,5.915,5.822,5.54,5.54,5.54,5.634,5.446,5.446,5.54,5.728,0.0,0.0,0.377,0.094,0.094,0.188,0.377,0.377,3.107,3.202,3.296,3.296
Plyn_HSG3-10,5.728,5.728,5.728,5.822,5.822,5.728,5.915,5.822,5.54,5.54,5.54,5.634,5.446,5.446,5.54,5.728,0.0,0.0,0.377,0.094,0.094,0.188,0.377,0.377,3.107,3.202,3.296,3.296
Plyn_SD11-9,5.915,5.915,5.915,6.009,6.009,5.915,6.103,6.009,5.728,5.728,5.728,5.822,5.634,5.634,5.728,5.915,0.377,0.377,0.0,0.282,0.282,0.377,0.565,0.565,3.484,3.578,3.672,3.672
Plyn_ShKm41,5.634,5.634,5.634,5.728,5.728,5.634,5.822,5.728,5.446,5.446,5.446,5.54,5.352,5.352,5.446,5.634,0.094,0.094,0.282,0.0,0.0,0.094,0.282,0.282,3.202,3.296,3.39,3.39
Plyn_TRB101-1,5.634,5.634,5.634,5.728,5.728,5.634,5.822,5.728,5.446,5.446,5.446,5.54,5.352,5.352,5.446,5.634,0.094,0.094,0.282,0.0,0.0,0.094,0.282,0.282,3.202,3.296,3.39,3.39
Plyn_PO16-1,5.54,5.54,5.54,5.634,5.634,5.54,5.728,5.634,5.352,5.352,5.352,5.446,5.258,5.258,5.352,5.54,0.188,0.188,0.377,0.094,0.094,0.0,0.188,0.188,3.107,3.202,3.296,3.296
Plyn_C8-2,5.54,5.54,5.54,5.634,5.634,5.54,5.728,5.634,5.352,5.352,5.352,5.446,5.258,5.258,5.352,5.54,0.377,0.377,0.565,0.282,0.282,0.188,0.0,0.0,2.919,3.013,3.107,3.107
Plyn_V105-1,5.54,5.54,5.54,5.634,5.634,5.54,5.728,5.634,5.352,5.352,5.352,5.446,5.258,5.258,5.352,5.54,0.377,0.377,0.565,0.282,0.282,0.188,0.0,0.0,2.919,3.013,3.107,3.107
Pcaud_Kr113-3,6.009,6.009,6.009,6.103,6.103,6.009,6.197,6.103,5.352,5.352,5.352,5.446,5.258,5.258,5.352,5.634,3.107,3.107,3.484,3.202,3.202,3.107,2.919,2.919,0.0,0.094,0.282,0.471
Pcaud_K5-2,6.103,6.103,6.103,6.197,6.197,6.103,6.291,6.197,5.446,5.446,5.446,5.54,5.352,5.352,5.446,5.728,3.202,3.202,3.578,3.296,3.296,3.202,3.013,3.013,0.094,0.0,0.377,0.565
Pcaud_CA,5.822,5.822,5.822,5.915,5.915,5.822,6.009,5.915,5.164,5.164,5.164,5.258,5.258,5.258,5.352,5.634,3.296,3.296,3.672,3.39,3.39,3.296,3.107,3.107,0.282,0.377,0.0,0.188
Pcaud_GB4-26,5.634,5.634,5.634,5.728,5.728,5.634,5.822,5.728,4.977,4.977,4.977,5.07,5.07,5.07,5.164,5.446,3.296,3.296,3.672,3.39,3.39,3.296,3.107,3.107,0.471,0.565,0.188,0.0
