## 1.1.1
## spades=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/contigs.fasta
## covsum=Sum of cov in blobDB.json
## cov0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/map2cov.aln-pe_sorted.bam.cov
## cov1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/blobology/S9/map2cov.aln-unpaired_sorted.bam.cov
## bam0=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/mapping/aln-pe_sorted.bam
## bam1=/Bmo/jyakovleva/parampampam/genomes/PGD/great_again/assembly_from_S9_raw_reads/mapping/aln-unpaired_sorted.bam
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	bam0_mean	bam0_std	bam0_read_map	bam0_read_map_p	bam1_mean	bam1_std	bam1_read_map	bam1_read_map_p	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p	cov1_mean	cov1_std	cov1_read_map	cov1_read_map_p	covsum_mean	covsum_std	covsum_read_map	covsum_read_map_p	spades_mean	spades_std	spades_read_map	spades_read_map_p
Verrucomicrobia	None	1	100.0%	12,675	100.0%	12,675	0.0	0.0	6.6	0.0	722	0.0%	0.1	0.0	2	0.0%	6.6	0.0	722	0.0%	0.1	0.0	2	0.0%	15.5	0.0	1,448	0.0%	2.2	0.0	0	0.0%
Actinobacteria	None	4	100.0%	1,217	100.0%	258	0.0	0.0	1.5	0.2	16	0.0%	0.1	0.0	0	0.0%	1.5	0.2	16	0.0%	0.1	0.0	0	0.0%	4.0	0.4	32	0.0%	0.7	0.1	0	0.0%
Endomyxa	None	1	100.0%	974	100.0%	974	0.0	0.0	63.1	0.0	533	0.0%	0.1	0.0	1	0.0%	63.1	0.0	533	0.0%	0.1	0.0	1	0.0%	150.6	0.0	1,068	0.0%	24.2	0.0	0	0.0%
Nucleocytoviricota	None	2	100.0%	9,990	100.0%	9,296	0.0	0.0	6.6	3.0	796	0.0%	0.1	0.0	1	0.0%	6.6	3.0	796	0.0%	0.1	0.0	1	0.0%	15.6	6.8	1,594	0.0%	2.2	0.8	0	0.0%
Apicomplexa	None	1	100.0%	661	100.0%	661	0.0	0.0	12.0	0.0	69	0.0%	0.1	0.0	0	0.0%	12.0	0.0	69	0.0%	0.1	0.0	0	0.0%	28.3	0.0	138	0.0%	4.1	0.0	0	0.0%
Eukaryota-undef	None	1	100.0%	3,395	100.0%	3,395	0.0	0.0	45.8	0.0	1,350	0.0%	0.1	0.0	2	0.0%	45.8	0.0	1,350	0.0%	0.1	0.0	2	0.0%	106.1	0.0	2,704	0.0%	14.2	0.0	0	0.0%
Mollusca	None	3	100.0%	2,033	100.0%	835	0.0	0.0	14.8	9.4	327	0.0%	0.7	0.6	15	0.0%	14.8	9.4	327	0.0%	0.7	0.6	15	0.0%	36.4	23.1	684	0.0%	5.4	3.4	0	0.0%
Chordata	None	2	100.0%	1,877	100.0%	1,600	0.0	0.0	8.5	6.0	208	0.0%	0.3	0.2	8	0.0%	8.5	6.0	208	0.0%	0.3	0.2	8	0.0%	20.2	14.4	432	0.0%	2.4	1.9	0	0.0%
Basidiomycota	None	1	100.0%	1,013	100.0%	1,013	0.0	0.0	76.8	0.0	675	0.0%	0.2	0.0	2	0.0%	76.8	0.0	675	0.0%	0.2	0.0	2	0.0%	188.8	0.0	1,354	0.0%	34.7	0.0	0	0.0%
Platyhelminthes	None	2	100.0%	1,215	100.0%	974	0.0	0.0	38.4	36.0	634	0.0%	0.1	0.0	0	0.0%	38.4	36.0	634	0.0%	0.1	0.0	0	0.0%	90.8	85.2	1,268	0.0%	13.8	13.1	0	0.0%
Nematoda	None	1	100.0%	4,828	100.0%	4,828	0.0	0.0	32.6	0.0	1,364	0.0%	0.1	0.0	1	0.0%	32.6	0.0	1,364	0.0%	0.1	0.0	1	0.0%	76.0	0.0	2,730	0.0%	10.7	0.0	0	0.0%
Bacteroidetes	None	1	100.0%	6,370	100.0%	6,370	0.0	0.0	6.8	0.0	378	0.0%	0.1	0.0	0	0.0%	6.8	0.0	378	0.0%	0.1	0.0	0	0.0%	16.2	0.0	756	0.0%	2.3	0.0	0	0.0%
Uroviricota	None	1	100.0%	1,377	100.0%	1,377	0.0	0.0	49.0	0.0	586	0.0%	0.1	0.0	0	0.0%	49.0	0.0	586	0.0%	0.1	0.0	0	0.0%	114.7	0.0	1,172	0.0%	16.4	0.0	0	0.0%
Chlorophyta	None	2	100.0%	8,272	100.0%	6,192	0.0	0.0	119.8	23.3	9,428	0.0%	0.1	0.0	6	0.0%	119.8	23.3	9,428	0.0%	0.1	0.0	6	0.0%	278.7	55.2	18,868	0.0%	38.9	8.7	0	0.0%
Brachiopoda	None	1	100.0%	1,385	100.0%	1,385	0.0	0.0	38.4	0.0	462	0.0%	0.2	0.0	2	0.0%	38.4	0.0	462	0.0%	0.2	0.0	2	0.0%	90.8	0.0	928	0.0%	13.6	0.0	0	0.0%
