,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pmult_C12,0.0511558896,0.0462592387,0.0511558896,0.0493908328,0.0446979118,0.0446979118,0.0446979118,0.0510990072,0.0477103569,0.0448110601,0.0477267191,0.0449399509,0.0520813917,0.0520813917,0.0402934843,0.0417261528,0.0448360898,0.0686093156,0.0478479506,0.0449399509,0.0450030450,0.0434903848,0.0418912897,0.0450479268,0.0446979118,0.0013222352,0.0478314955,0.0031469977,0.0000000000,,,,,,,,,,,,,,,,,
Pmult_Chp5-3,0.0511558896,0.0462592387,0.0511558896,0.0493908328,0.0446979118,0.0446979118,0.0446979118,0.0510990072,0.0477103569,0.0448110601,0.0477267191,0.0449399509,0.0520813917,0.0520813917,0.0402934843,0.0417261528,0.0448360898,0.0686093156,0.0478479506,0.0449399509,0.0450030450,0.0434903848,0.0418912897,0.0450479268,0.0446979118,0.0013222352,0.0478314955,0.0031469977,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,
Pmult_E59-1B,0.0511558896,0.0462592387,0.0511558896,0.0493908328,0.0446979118,0.0446979118,0.0446979118,0.0510990072,0.0477103569,0.0448110601,0.0477267191,0.0449399509,0.0520813917,0.0520813917,0.0402934843,0.0417261528,0.0448360898,0.0686093156,0.0478479506,0.0449399509,0.0450030450,0.0434903848,0.0418912897,0.0450479268,0.0446979118,0.0013222352,0.0478314955,0.0031469977,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,
Pmult_IP2-1,0.0511558896,0.0462592387,0.0511558896,0.0493908328,0.0446979118,0.0446979118,0.0446979118,0.0510990072,0.0477103569,0.0448110601,0.0477267191,0.0449399509,0.0520813917,0.0520813917,0.0402934843,0.0417261528,0.0448360898,0.0686093156,0.0478479506,0.0449399509,0.0450030450,0.0434903848,0.0418912897,0.0450479268,0.0446979118,0.0013222352,0.0478314955,0.0031469977,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,
Pfok_SMM81-1,0.0883985308,0.0775596990,0.0883985308,0.0891854334,0.0793774221,0.0793774221,0.0793774221,0.0911174162,0.0828273018,0.0828273018,0.0843165806,0.0744469704,0.0859776922,0.0859776922,0.0791075857,0.0775047423,0.0822404710,0.1002592119,0.0776478448,0.0744469704,0.0777655484,0.0760457785,0.0809886951,0.0882912731,0.0793774221,0.1012440311,0.0830525145,0.1104654135,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0993113242,,,,,,,,,,,,,
Pfok_T42-1,0.0883985308,0.0775596990,0.0883985308,0.0891854334,0.0793774221,0.0793774221,0.0793774221,0.0911174162,0.0828273018,0.0828273018,0.0843165806,0.0744469704,0.0859776922,0.0859776922,0.0791075857,0.0775047423,0.0822404710,0.1002592119,0.0776478448,0.0744469704,0.0777655484,0.0760457785,0.0809886951,0.0882912731,0.0793774221,0.1012440311,0.0830525145,0.1104654135,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0000000000,,,,,,,,,,,,
Pfok_AM,0.0899091172,0.0875879597,0.0899091172,0.0899091172,0.0899091172,0.0899091172,0.0899091172,0.0919404083,0.0942944010,0.0942944010,0.0960182819,0.0814455146,0.0937146102,0.0937146102,0.0873915168,0.0873915168,0.0855007066,0.1015485448,0.0834471182,0.0814455146,0.0856152125,0.0834471182,0.0897831643,0.0918118059,0.0899091172,0.1106055594,0.0922510772,0.1149401499,0.1106055594,0.1106055594,0.1106055594,0.1106055594,0.1106055594,0.0000000000,0.0000000000,,,,,,,,,,,
Pfok_M04,0.0883985308,0.0775596990,0.0883985308,0.0891854334,0.0793774221,0.0793774221,0.0793774221,0.0911174162,0.0828273018,0.0828273018,0.0843165806,0.0744469704,0.0859776922,0.0859776922,0.0791075857,0.0775047423,0.0822404710,0.1002592119,0.0776478448,0.0744469704,0.0777655484,0.0760457785,0.0809886951,0.0882912731,0.0793774221,0.1012440311,0.0830525145,0.1104654135,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,
Pfok_BR,0.0966983285,0.0975903343,0.0966983285,0.0966983285,0.0996420291,0.0996420291,0.0996420291,0.0987180815,0.1034903577,0.0999323655,0.1055827316,0.1037392542,0.0956014729,0.0956014729,0.0995225404,0.0995225404,0.0988379620,0.1086778953,0.1055279094,0.1037392542,0.1039113594,0.1019544060,0.1057096912,0.1036363912,0.0996420291,0.1224466875,0.1037927725,0.1202077218,0.1202608623,0.1202608623,0.1202608623,0.1202608623,0.1202608623,0.0870027709,0.0870027709,0.0835183841,0.0870027709,,,,,,,,,
Pfok_strain12,0.0990471878,0.0946986328,0.0990471878,0.0972210685,0.0966139592,0.0966139592,0.0966139592,0.0991757771,0.1002110435,0.0968785697,0.1004862536,0.0987667638,0.0945917030,0.0945917030,0.0982739344,0.0966139592,0.1011570954,0.1088123987,0.1021129565,0.0987667638,0.0989203919,0.0970987072,0.1006002748,0.1059991241,0.0966139592,0.1179261907,0.1004862536,0.1226705576,0.1158927678,0.1158927678,0.1158927678,0.1158927678,0.1158927678,0.0868799259,0.0868799259,0.0857644844,0.0868799259,0.0028103299,,,,,,,,
Pfok_CyL3-21,0.0883985308,0.0775596990,0.0883985308,0.0891854334,0.0793774221,0.0793774221,0.0793774221,0.0911174162,0.0828273018,0.0828273018,0.0843165806,0.0744469704,0.0859776922,0.0859776922,0.0791075857,0.0775047423,0.0822404710,0.1002592119,0.0776478448,0.0744469704,0.0777655484,0.0760457785,0.0809886951,0.0882912731,0.0793774221,0.1012440311,0.0830525145,0.1104654135,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0993113242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0870027709,0.0868799259,,,,,,,
Pfok_US_Bl_16I1,0.1001348648,0.0918402256,0.1001348648,0.1003562968,0.0937200286,0.0937200286,0.0937200286,0.0984119609,0.0972562654,0.0972562654,0.1048295104,0.0978957431,0.1008729168,0.1008729168,0.0918818826,0.0902567084,0.0957104516,0.1076943559,0.1012131382,0.0978957431,0.1013695842,0.0995527676,0.1013753369,0.1065364958,0.0937200286,0.1167563069,0.0975202352,0.1208205402,0.1147451160,0.1147451160,0.1147451160,0.1147451160,0.1147451160,0.0743757187,0.0743757187,0.0710349253,0.0743757187,0.0443465051,0.0447318599,0.0743757187,,,,,,
Pfok_PL4-1,0.0882280859,0.0774387581,0.0882280859,0.0890189962,0.0792531751,0.0792531751,0.0792531751,0.0909471436,0.0826970073,0.0826970073,0.0841839993,0.0743310426,0.0858422602,0.0858422602,0.0789841391,0.0773839423,0.0820863647,0.1000716083,0.0775266426,0.0743310426,0.0776439782,0.0759272189,0.0808617753,0.0881247337,0.0792531751,0.1010821507,0.0829215234,0.1102532046,0.0991531249,0.0991531249,0.0991531249,0.0991531249,0.0991531249,0.0013222352,0.0013222352,0.0016278500,0.0013222352,0.0889641504,0.0887344548,0.0013222352,0.0761431256,,,,,
Pfok_strain14,0.0883985308,0.0802554581,0.0883985308,0.0911174162,0.0821465183,0.0821465183,0.0821465183,0.0930540194,0.0857302975,0.0857302975,0.0872698852,0.0770320499,0.0872082814,0.0872082814,0.0801036343,0.0784476452,0.0822404710,0.1022079917,0.0786890233,0.0770320499,0.0804754921,0.0786890233,0.0838168375,0.0882912731,0.0821465183,0.1048449351,0.0859712082,0.1104654135,0.1028305973,0.1028305973,0.1028305973,0.1028305973,0.1028305973,0.0013621296,0.0013621296,0.0000000000,0.0013621296,0.0854649793,0.0881304172,0.0013621296,0.0769038678,0.0027340902,,,,
Pfok_N6,0.0930047137,0.0812041764,0.0930047137,0.0936484497,0.0830482179,0.0830482179,0.0830482179,0.0956021364,0.0865400694,0.0865400694,0.0880378965,0.0780653679,0.0897169748,0.0897169748,0.0827653112,0.0811472078,0.0866657857,0.1048238661,0.0812966582,0.0780653679,0.0814207483,0.0796793685,0.0846748266,0.0927955141,0.0830482179,0.1051453958,0.0867766131,0.1152373074,0.1031847995,0.1031847995,0.1031847995,0.1031847995,0.1031847995,0.0026536846,0.0026536846,0.0032696693,0.0026536846,0.0909352901,0.0905974659,0.0026536846,0.0779193203,0.0039944909,0.0041158928,,,
Pfok_OLI-Parame-mult-01,0.0988538784,0.0958309154,0.0988538784,0.0970382934,0.0979096497,0.0979096497,0.0979096497,0.0989890845,0.1018132352,0.0981999305,0.1019909443,0.0983204601,0.0972647741,0.0972647741,0.0904176003,0.0886438219,0.0927738793,0.1083217683,0.1001271956,0.0983204601,0.0984858337,0.0965176412,0.1003019403,0.1036363912,0.0979096497,0.1115169574,0.1021159726,0.1098416003,0.1093530204,0.1093530204,0.1093530204,0.1093530204,0.1093530204,0.0800728815,0.0800728815,0.0776534805,0.0800728815,0.0133527320,0.0144425549,0.0800728815,0.0389637154,0.0820359008,0.0817984966,0.0840094873,,
Pfok_OLI-Parame-mult-02,0.0988538784,0.0945478872,0.0988538784,0.0970382934,0.0964595909,0.0964595909,0.0964595909,0.0989890845,0.1000501530,0.0967233742,0.0985431273,0.0951728860,0.0959807104,0.0959807104,0.0913009615,0.0896605603,0.0927738793,0.1083217683,0.0984964630,0.0951728860,0.0953202845,0.0935161003,0.0986548358,0.1036363912,0.0964595909,0.1106619875,0.1003244996,0.1098416003,0.1086698142,0.1086698142,0.1086698142,0.1086698142,0.1086698142,0.0802331466,0.0802331466,0.0776534805,0.0802331466,0.0141563804,0.0133620772,0.0802331466,0.0388386666,0.0820516855,0.0812600674,0.0838789786,0.0000000000,
