,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_N16,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.024,0.048,0.049,0.059,0.066,0.077,0.077,0.059,0.034,0.034,0.064,0.034,0.042,0.024,0.042,0.042,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_CyP5-3,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.0,0.0,0.0,0.0,0.0,0.024,0.048,0.049,0.059,0.066,0.077,0.077,0.059,0.034,0.034,0.064,0.034,0.042,0.024,0.042,0.048,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_N17,0.042,0.043,0.042,0.042,0.049,0.042,0.042,0.024,0.024,0.024,0.024,0.024,0.0,0.054,0.054,0.064,0.072,0.08,0.081,0.064,0.042,0.042,0.069,0.042,0.048,0.034,0.049,0.049,0.121,0.124,0.124,0.123,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.121
Pmult_Or4-3,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.049,0.049,0.049,0.048,0.048,0.054,0.0,0.049,0.077,0.088,0.091,0.091,0.077,0.059,0.059,0.08,0.034,0.042,0.054,0.042,0.048,0.121,0.124,0.124,0.123,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.121
Pmult_LSA,0.034,0.035,0.034,0.034,0.042,0.034,0.034,0.049,0.049,0.049,0.049,0.049,0.054,0.049,0.0,0.077,0.088,0.091,0.091,0.077,0.06,0.06,0.081,0.034,0.042,0.049,0.034,0.042,0.121,0.124,0.124,0.123,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.121
Pmult_MSA-5,0.069,0.07,0.069,0.069,0.073,0.069,0.069,0.059,0.059,0.059,0.059,0.059,0.064,0.077,0.077,0.0,0.097,0.097,0.097,0.084,0.069,0.069,0.087,0.069,0.073,0.064,0.073,0.077,0.13,0.133,0.133,0.132,0.133,0.133,0.133,0.133,0.133,0.133,0.133,0.13
Pmult_BNB-2015,0.078,0.052,0.078,0.078,0.083,0.078,0.078,0.066,0.066,0.066,0.066,0.066,0.072,0.088,0.088,0.097,0.0,0.106,0.102,0.097,0.072,0.072,0.102,0.078,0.083,0.066,0.078,0.083,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.144,0.152
Pmult_FT5,0.084,0.086,0.084,0.084,0.088,0.084,0.084,0.077,0.077,0.077,0.077,0.077,0.08,0.091,0.091,0.097,0.106,0.0,0.103,0.097,0.084,0.084,0.1,0.084,0.087,0.08,0.087,0.091,0.141,0.144,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.144,0.141
Pmult_BR3,0.084,0.075,0.084,0.084,0.088,0.084,0.084,0.077,0.077,0.077,0.077,0.077,0.081,0.091,0.091,0.097,0.102,0.103,0.0,0.097,0.084,0.084,0.1,0.084,0.088,0.077,0.084,0.088,0.14,0.142,0.142,0.141,0.142,0.142,0.142,0.142,0.142,0.142,0.138,0.14
Pmult_FT2,0.069,0.07,0.069,0.069,0.073,0.069,0.069,0.059,0.059,0.059,0.059,0.059,0.064,0.077,0.077,0.084,0.097,0.097,0.097,0.0,0.069,0.069,0.087,0.069,0.073,0.064,0.073,0.077,0.133,0.135,0.135,0.134,0.135,0.135,0.135,0.135,0.135,0.135,0.135,0.133
Pmult_FT1,0.048,0.05,0.048,0.048,0.054,0.048,0.048,0.034,0.034,0.034,0.034,0.034,0.042,0.059,0.06,0.069,0.072,0.084,0.084,0.069,0.0,0.048,0.073,0.049,0.054,0.042,0.054,0.059,0.124,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.124
Pmult_FT4,0.048,0.05,0.048,0.048,0.054,0.048,0.048,0.034,0.034,0.034,0.034,0.034,0.042,0.059,0.06,0.069,0.072,0.084,0.084,0.069,0.048,0.0,0.073,0.049,0.054,0.042,0.054,0.059,0.124,0.126,0.126,0.125,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.124
Pmult_para200,0.073,0.075,0.073,0.073,0.077,0.073,0.073,0.064,0.064,0.064,0.064,0.064,0.069,0.08,0.081,0.087,0.102,0.1,0.1,0.087,0.073,0.073,0.0,0.073,0.077,0.069,0.077,0.08,0.135,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.137,0.135
Pmult_Pm,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.034,0.034,0.034,0.034,0.034,0.042,0.034,0.034,0.069,0.078,0.084,0.084,0.069,0.049,0.049,0.073,0.0,0.024,0.034,0.0,0.024,0.116,0.119,0.119,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.116
Pmult_SK6-3,0.024,0.025,0.024,0.024,0.034,0.024,0.024,0.042,0.042,0.042,0.042,0.042,0.048,0.042,0.042,0.073,0.083,0.087,0.088,0.073,0.054,0.054,0.077,0.024,0.0,0.049,0.034,0.024,0.119,0.121,0.121,0.12,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_ThK-16,0.042,0.035,0.042,0.042,0.042,0.042,0.042,0.0,0.0,0.0,0.024,0.024,0.034,0.054,0.049,0.064,0.066,0.08,0.077,0.064,0.042,0.042,0.069,0.034,0.049,0.0,0.034,0.049,0.121,0.121,0.124,0.12,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.121
Pmult_OmN-1,0.024,0.0,0.024,0.024,0.024,0.024,0.024,0.034,0.034,0.034,0.042,0.042,0.049,0.042,0.034,0.073,0.078,0.087,0.084,0.073,0.054,0.054,0.077,0.0,0.034,0.034,0.0,0.034,0.119,0.119,0.121,0.118,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.119
Pmult_LB-1,0.034,0.025,0.034,0.034,0.034,0.034,0.034,0.042,0.042,0.042,0.042,0.048,0.049,0.048,0.042,0.077,0.083,0.091,0.088,0.077,0.059,0.059,0.08,0.024,0.024,0.049,0.034,0.0,0.121,0.121,0.124,0.12,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.121
Pfok_US_Bl_16I1,0.116,0.119,0.116,0.116,0.119,0.116,0.116,0.119,0.119,0.119,0.119,0.119,0.121,0.121,0.121,0.13,0.152,0.141,0.14,0.133,0.124,0.124,0.135,0.116,0.119,0.121,0.119,0.121,0.0,0.042,0.042,0.0,0.042,0.042,0.042,0.042,0.042,0.042,0.0,0.0
Pfok_strain14,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.144,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.121,0.119,0.121,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_CyL3-21,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_strain12,0.118,0.12,0.118,0.118,0.12,0.118,0.118,0.12,0.12,0.12,0.12,0.12,0.123,0.123,0.123,0.132,0.152,0.143,0.141,0.134,0.125,0.125,0.137,0.118,0.12,0.12,0.118,0.12,0.0,0.042,0.042,0.0,0.042,0.042,0.042,0.042,0.042,0.042,0.0,0.0
Pfok_T42-1,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_YM25,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_PL4-1,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_SMM81-1,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_N6,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_FCB10-1,0.119,0.122,0.119,0.119,0.121,0.119,0.119,0.121,0.121,0.121,0.121,0.121,0.124,0.124,0.124,0.133,0.152,0.143,0.142,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.124,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.042
Pfok_AF255361,0.118,0.119,0.118,0.118,0.121,0.118,0.118,0.121,0.121,0.121,0.121,0.121,0.123,0.123,0.124,0.133,0.144,0.144,0.138,0.135,0.126,0.126,0.137,0.119,0.121,0.124,0.121,0.123,0.0,0.043,0.043,0.0,0.043,0.043,0.043,0.043,0.043,0.043,0.0,0.0
Pfok_TH105,0.116,0.119,0.116,0.116,0.119,0.116,0.116,0.119,0.119,0.119,0.119,0.119,0.121,0.121,0.121,0.13,0.152,0.141,0.14,0.133,0.124,0.124,0.135,0.116,0.119,0.121,0.119,0.121,0.0,0.042,0.042,0.0,0.042,0.042,0.042,0.042,0.042,0.042,0.0,0.0
