,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pmult_N16,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.235,0.236,0.353,0.431,0.353,0.474,0.118,0.118,0.118,0.118,0.118,0.176,0.0,0.118,0.177,1.174,1.237,1.233,1.202,1.233,1.233,1.233,1.233,1.233,1.233,1.217,1.174
Pmult_CyP5-3,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.235,0.236,0.353,0.431,0.352,0.474,0.117,0.118,0.118,0.118,0.118,0.176,0.0,0.118,0.235,1.174,1.237,1.232,1.202,1.232,1.232,1.232,1.232,1.232,1.232,1.217,1.174
Pmult_N17,0.176,0.185,0.176,0.176,0.236,0.176,0.176,0.059,0.059,0.059,0.059,0.059,0.0,0.294,0.295,0.412,0.517,0.411,0.533,0.176,0.176,0.176,0.177,0.177,0.235,0.059,0.177,0.236,1.233,1.296,1.292,1.262,1.292,1.292,1.292,1.292,1.292,1.292,1.278,1.233
Pmult_Or4-3,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.236,0.236,0.236,0.235,0.235,0.294,0.0,0.236,0.588,0.776,0.587,0.71,0.352,0.353,0.353,0.353,0.118,0.176,0.236,0.118,0.235,1.351,1.415,1.409,1.383,1.409,1.409,1.409,1.409,1.409,1.409,1.4,1.351
Pmult_LSA,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.236,0.236,0.236,0.236,0.236,0.295,0.236,0.0,0.59,0.776,0.59,0.71,0.354,0.354,0.354,0.354,0.118,0.177,0.236,0.118,0.177,1.356,1.415,1.415,1.383,1.415,1.415,1.415,1.415,1.415,1.415,1.406,1.356
Pmult_MSA-5,0.47,0.494,0.47,0.47,0.531,0.47,0.47,0.354,0.354,0.354,0.353,0.353,0.412,0.588,0.59,0.0,0.948,0.705,0.829,0.47,0.47,0.47,0.471,0.472,0.529,0.354,0.471,0.588,1.467,1.532,1.526,1.502,1.526,1.526,1.526,1.526,1.526,1.526,1.521,1.467
Pmult_BNB-2015,0.603,0.274,0.603,0.603,0.69,0.603,0.603,0.431,0.431,0.431,0.431,0.431,0.517,0.776,0.776,0.948,0.0,0.775,1.034,0.602,0.517,0.517,0.604,0.603,0.69,0.431,0.603,0.69,1.979,1.979,1.979,1.979,1.979,1.979,1.979,1.979,1.979,1.979,1.712,1.979
Pmult_FT5,0.47,0.494,0.47,0.47,0.531,0.47,0.47,0.354,0.354,0.354,0.353,0.352,0.411,0.587,0.59,0.705,0.775,0.0,0.709,0.469,0.469,0.469,0.47,0.472,0.528,0.353,0.471,0.587,1.525,1.59,1.584,1.562,1.584,1.584,1.584,1.584,1.584,1.584,1.58,1.525
Pmult_BR3,0.592,0.434,0.592,0.592,0.651,0.592,0.592,0.474,0.474,0.474,0.474,0.474,0.533,0.71,0.71,0.829,1.034,0.709,0.0,0.591,0.592,0.592,0.592,0.592,0.651,0.474,0.592,0.651,1.597,1.656,1.656,1.623,1.656,1.656,1.656,1.656,1.656,1.656,1.532,1.597
Pmult_FT2,0.235,0.247,0.235,0.235,0.295,0.235,0.235,0.118,0.118,0.118,0.118,0.117,0.176,0.352,0.354,0.47,0.602,0.469,0.591,0.0,0.235,0.235,0.235,0.236,0.294,0.118,0.236,0.352,1.29,1.355,1.349,1.321,1.349,1.349,1.349,1.349,1.349,1.349,1.337,1.29
Pmult_FT1,0.235,0.247,0.235,0.235,0.295,0.235,0.235,0.118,0.118,0.118,0.118,0.118,0.176,0.353,0.354,0.47,0.517,0.469,0.592,0.235,0.0,0.235,0.235,0.236,0.294,0.118,0.236,0.353,1.292,1.356,1.351,1.323,1.351,1.351,1.351,1.351,1.351,1.351,1.338,1.292
Pmult_FT4,0.235,0.247,0.235,0.235,0.295,0.235,0.235,0.118,0.118,0.118,0.118,0.118,0.176,0.353,0.354,0.47,0.517,0.469,0.592,0.235,0.235,0.0,0.235,0.236,0.294,0.118,0.236,0.353,1.292,1.356,1.351,1.323,1.351,1.351,1.351,1.351,1.351,1.351,1.338,1.292
Pmult_para200,0.235,0.247,0.235,0.235,0.295,0.235,0.235,0.118,0.118,0.118,0.118,0.118,0.177,0.353,0.354,0.471,0.604,0.47,0.592,0.235,0.235,0.235,0.0,0.236,0.294,0.118,0.236,0.353,1.293,1.357,1.351,1.324,1.351,1.351,1.351,1.351,1.351,1.351,1.339,1.293
Pmult_Pm,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.177,0.118,0.118,0.472,0.603,0.472,0.592,0.236,0.236,0.236,0.236,0.0,0.059,0.118,0.0,0.059,1.238,1.297,1.297,1.263,1.297,1.297,1.297,1.297,1.297,1.297,1.284,1.238
Pmult_SK6-3,0.059,0.062,0.059,0.059,0.118,0.059,0.059,0.177,0.177,0.177,0.176,0.176,0.235,0.176,0.177,0.529,0.69,0.528,0.651,0.294,0.294,0.294,0.294,0.059,0.0,0.177,0.059,0.059,1.292,1.356,1.351,1.323,1.351,1.351,1.351,1.351,1.351,1.351,1.339,1.292
Pmult_ThK-16,0.118,0.124,0.118,0.118,0.177,0.118,0.118,0.0,0.0,0.0,0.0,0.0,0.059,0.236,0.236,0.354,0.431,0.353,0.474,0.118,0.118,0.118,0.118,0.118,0.177,0.0,0.118,0.177,1.177,1.239,1.236,1.202,1.236,1.236,1.236,1.236,1.236,1.236,1.22,1.177
Pmult_OmN-1,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.118,0.118,0.118,0.177,0.118,0.118,0.471,0.603,0.471,0.592,0.236,0.236,0.236,0.236,0.0,0.059,0.118,0.0,0.059,1.237,1.299,1.296,1.263,1.296,1.296,1.296,1.296,1.296,1.296,1.282,1.237
Pmult_LB-1,0.118,0.062,0.118,0.118,0.118,0.118,0.118,0.177,0.177,0.177,0.177,0.235,0.236,0.235,0.177,0.588,0.69,0.587,0.651,0.352,0.353,0.353,0.353,0.059,0.059,0.177,0.059,0.0,1.351,1.356,1.409,1.323,1.409,1.409,1.409,1.409,1.409,1.409,1.4,1.351
Pfok_US_Bl_16I1,1.233,1.297,1.233,1.233,1.297,1.233,1.233,1.179,1.179,1.179,1.174,1.174,1.233,1.351,1.356,1.467,1.979,1.525,1.597,1.29,1.292,1.292,1.293,1.238,1.292,1.177,1.237,1.351,0.0,0.177,0.176,0.0,0.176,0.176,0.176,0.176,0.176,0.176,0.0,0.0
Pfok_strain14,1.297,1.359,1.297,1.297,1.356,1.297,1.297,1.237,1.237,1.237,1.237,1.237,1.296,1.415,1.415,1.532,1.979,1.59,1.656,1.355,1.356,1.356,1.357,1.297,1.356,1.239,1.299,1.356,0.177,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.177
Pfok_CyL3-21,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_strain12,1.263,1.324,1.263,1.263,1.323,1.263,1.263,1.202,1.202,1.202,1.202,1.202,1.262,1.383,1.383,1.502,1.979,1.562,1.623,1.321,1.323,1.323,1.324,1.263,1.323,1.202,1.263,1.323,0.0,0.181,0.181,0.0,0.181,0.181,0.181,0.181,0.181,0.181,0.0,0.0
Pfok_T42-1,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_YM25,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_PL4-1,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_SMM81-1,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_N6,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_FCB10-1,1.292,1.359,1.292,1.292,1.356,1.292,1.292,1.237,1.237,1.237,1.233,1.232,1.292,1.409,1.415,1.526,1.979,1.584,1.656,1.349,1.351,1.351,1.351,1.297,1.351,1.236,1.296,1.409,0.176,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.176
Pfok_AF255361,1.278,1.297,1.278,1.278,1.345,1.278,1.278,1.222,1.222,1.222,1.217,1.217,1.278,1.4,1.406,1.521,1.712,1.58,1.532,1.337,1.338,1.338,1.339,1.284,1.339,1.22,1.282,1.4,0.0,0.183,0.183,0.0,0.183,0.183,0.183,0.183,0.183,0.183,0.0,0.0
Pfok_TH105,1.233,1.297,1.233,1.233,1.297,1.233,1.233,1.179,1.179,1.179,1.174,1.174,1.233,1.351,1.356,1.467,1.979,1.525,1.597,1.29,1.292,1.292,1.293,1.238,1.292,1.177,1.237,1.351,0.0,0.177,0.176,0.0,0.176,0.176,0.176,0.176,0.176,0.176,0.0,0.0
