,Pmult_ChP5-3,Pmult_PS23,Pmult_ChP10-2,Pmult_L72-1,Pmult_strain4,Pmult_R51-6,Pmult_K4-2,Pmult_AC2,Pmult_PC6,Pmult_TP2_India,Pmult_N16,Pmult_CyP5-3,Pmult_N17,Pmult_Or4-3,Pmult_LSA,Pmult_MSA-5,Pmult_BNB-2015,Pmult_FT5,Pmult_BR3,Pmult_FT2,Pmult_FT1,Pmult_FT4,Pmult_para200,Pmult_Pm,Pmult_SK6-3,Pmult_ThK-16,Pmult_OmN-1,Pmult_LB-1,Pfok_US_Bl_16I1,Pfok_strain14,Pfok_CyL3-21,Pfok_strain12,Pfok_T42-1,Pfok_YM25,Pfok_PL4-1,Pfok_SMM81-1,Pfok_N6,Pfok_FCB10-1,Pfok_AF255361,Pfok_TH105
Pfok_US_Bl_16I1,98.649,98.579,98.649,98.649,98.585,98.649,98.649,98.586,98.586,98.586,98.591,98.592,98.532,98.532,98.526,98.298,97.676,98.006,98.048,98.24,98.473,98.473,98.179,98.644,98.591,98.529,98.587,98.532,100.0,99.823,99.824,100.0,99.824,99.824,99.824,99.824,99.824,99.824,100.0,100.0
Pfok_strain14,98.585,98.518,98.585,98.585,98.526,98.585,98.585,98.527,98.527,98.527,98.527,98.527,98.468,98.467,98.467,98.232,97.676,97.939,97.989,98.174,98.408,98.408,98.112,98.585,98.526,98.525,98.583,98.526,99.823,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.823
Pfok_CyL3-21,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_strain12,98.617,98.55,98.617,98.617,98.557,98.617,98.617,98.558,98.558,98.558,98.558,98.558,98.498,98.497,98.497,98.257,97.676,97.958,98.017,98.198,98.437,98.437,98.135,98.617,98.557,98.558,98.617,98.557,100.0,99.819,99.819,100.0,99.819,99.819,99.819,99.819,99.819,99.819,100.0,100.0
Pfok_T42-1,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_YM25,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_PL4-1,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_SMM81-1,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_N6,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_FCB10-1,98.591,98.518,98.591,98.591,98.526,98.591,98.591,98.527,98.527,98.527,98.532,98.533,98.473,98.473,98.467,98.239,97.676,97.947,97.989,98.182,98.415,98.415,98.12,98.585,98.532,98.47,98.528,98.473,99.824,100.0,100.0,99.819,100.0,100.0,100.0,100.0,100.0,100.0,99.817,99.824
Pfok_AF255361,98.6,98.579,98.6,98.6,98.533,98.6,98.6,98.534,98.534,98.534,98.539,98.54,98.478,98.478,98.472,98.236,97.928,97.934,98.1,98.177,98.418,98.418,98.113,98.594,98.539,98.475,98.535,98.478,100.0,99.817,99.817,100.0,99.817,99.817,99.817,99.817,99.817,99.817,100.0,100.0
Pfok_TH105,98.649,98.579,98.649,98.649,98.585,98.649,98.649,98.586,98.586,98.586,98.591,98.592,98.532,98.532,98.526,98.298,97.676,98.006,98.048,98.24,98.473,98.473,98.179,98.644,98.591,98.529,98.587,98.532,100.0,99.823,99.824,100.0,99.824,99.824,99.824,99.824,99.824,99.824,100.0,100.0
