,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pcaud_V-1,71.497,71.178,72.134,72.134,87.261,87.42,85.35,84.873,86.306,86.306,100.0,99.204,92.994,92.038,87.739,87.739,87.739,87.58,88.057,87.739,86.943,87.102,87.102,87.58,84.395,74.841,73.885,77.707,74.682,77.866,76.592,74.682,75.478,74.522,76.592,75.796,87.739,86.943,86.943,87.102,85.032,85.35,84.873,85.987
Pcaud_OR4-4,71.338,71.019,71.656,71.656,87.42,87.58,85.191,85.51,86.146,86.146,99.204,100.0,92.834,92.357,87.739,87.739,87.739,87.58,88.057,87.739,86.943,87.102,87.102,87.739,84.236,74.522,74.204,78.025,75.0,77.548,76.911,74.682,75.478,74.363,76.592,75.955,87.58,87.102,86.783,87.261,84.873,85.191,84.873,85.828
Pcaud_SH42,70.701,70.382,70.541,70.541,88.854,88.854,87.739,85.51,85.35,85.35,92.994,92.834,100.0,91.083,88.694,88.694,88.694,88.535,88.854,88.694,87.58,87.739,87.739,86.624,84.873,74.204,75.318,77.229,75.796,76.592,76.274,73.567,74.841,72.771,75.955,74.045,89.013,88.854,88.694,88.535,87.42,87.739,85.35,85.032
Pcaud_INL-1,70.86,71.338,71.975,71.975,87.102,86.624,85.51,85.51,85.669,85.669,92.038,92.357,91.083,100.0,89.172,89.172,89.172,89.013,89.013,89.172,88.694,88.854,88.854,87.261,85.191,75.159,75.0,77.229,75.159,76.911,76.433,73.567,75.955,73.089,75.637,74.682,87.261,86.624,87.42,86.306,85.191,85.51,85.987,85.35
Plyn_SD11-9,73.408,73.089,72.771,72.771,86.943,86.306,85.987,85.828,85.828,85.828,87.739,87.739,88.694,89.172,100.0,100.0,100.0,99.841,99.682,99.841,97.93,98.089,98.089,86.306,86.624,74.204,73.726,74.522,72.611,75.478,76.752,74.045,77.229,74.363,75.318,75.0,87.739,86.624,86.783,85.987,85.987,85.987,85.828,85.51
Plyn_V105-1,73.408,73.089,72.771,72.771,86.943,86.306,85.987,85.828,85.828,85.828,87.739,87.739,88.694,89.172,100.0,100.0,100.0,99.841,99.682,99.841,97.93,98.089,98.089,86.306,86.624,74.204,73.726,74.522,72.611,75.478,76.752,74.045,77.229,74.363,75.318,75.0,87.739,86.624,86.783,85.987,85.987,85.987,85.828,85.51
Plyn_PO16-1,73.408,73.089,72.771,72.771,86.943,86.306,85.987,85.828,85.828,85.828,87.739,87.739,88.694,89.172,100.0,100.0,100.0,99.841,99.682,99.841,97.93,98.089,98.089,86.306,86.624,74.204,73.726,74.522,72.611,75.478,76.752,74.045,77.229,74.363,75.318,75.0,87.739,86.624,86.783,85.987,85.987,85.987,85.828,85.51
Plyn_CB8-2,73.248,72.93,72.611,72.611,86.783,86.146,85.828,85.669,85.669,85.669,87.58,87.58,88.535,89.013,99.841,99.841,99.841,100.0,99.522,99.682,97.771,97.93,97.93,86.146,86.465,74.045,73.567,74.363,72.452,75.318,76.592,73.885,77.07,74.204,75.159,74.841,87.58,86.465,86.624,85.828,85.828,85.828,85.669,85.35
Plyn_HSG3-10,73.248,73.089,72.771,72.771,87.102,86.465,86.146,85.51,85.669,85.669,88.057,88.057,88.854,89.013,99.682,99.682,99.682,99.522,100.0,99.522,97.93,98.089,98.089,86.624,86.624,74.363,73.885,74.522,72.93,75.478,76.592,74.204,77.07,74.363,75.478,75.0,87.898,86.624,86.624,86.146,86.146,86.146,85.669,85.35
Plyn_SP-1,73.408,73.089,72.771,72.771,86.943,86.306,85.987,85.828,85.828,85.828,87.739,87.739,88.694,89.172,99.841,99.841,99.841,99.682,99.522,100.0,97.771,97.93,97.93,86.306,86.624,74.045,73.726,74.522,72.611,75.478,76.752,74.045,77.229,74.204,75.159,74.841,87.739,86.624,86.783,85.987,85.987,85.987,85.828,85.51
Plyn_TRB101-1,73.089,73.089,72.134,72.134,85.828,85.51,84.873,85.032,85.032,85.032,86.943,86.943,87.58,88.694,97.93,97.93,97.93,97.771,97.93,97.771,100.0,99.841,99.841,85.987,85.828,74.363,74.522,74.204,72.452,74.841,75.796,73.567,75.955,73.567,74.522,74.522,86.624,85.669,85.987,85.191,84.873,84.873,85.191,84.713
Plyn_TRB101-4,73.089,73.248,72.293,72.293,85.987,85.669,85.032,84.873,85.191,85.191,87.102,87.102,87.739,88.854,98.089,98.089,98.089,97.93,98.089,97.93,99.841,100.0,100.0,86.146,85.987,74.522,74.682,74.363,72.611,75.0,75.955,73.726,76.115,73.726,74.682,74.682,86.783,85.828,86.146,85.35,85.032,85.032,85.032,84.873
Plyn_ShKm41,73.089,73.248,72.293,72.293,85.987,85.669,85.032,84.873,85.191,85.191,87.102,87.102,87.739,88.854,98.089,98.089,98.089,97.93,98.089,97.93,99.841,100.0,100.0,86.146,85.987,74.522,74.682,74.363,72.611,75.0,75.955,73.726,76.115,73.726,74.682,74.682,86.783,85.828,86.146,85.35,85.032,85.032,85.032,84.873
Psp_FT8,71.338,71.815,71.497,71.497,85.35,85.032,84.554,85.032,86.306,86.306,87.58,87.739,86.624,87.261,86.306,86.306,86.306,86.146,86.624,86.306,85.987,86.146,86.146,100.0,84.236,76.592,75.0,76.911,74.045,76.752,77.229,73.408,75.478,71.975,75.796,74.363,86.465,85.191,85.35,84.713,84.554,84.554,85.032,85.987
Pgerm_GO1,72.452,72.93,71.338,71.338,83.439,84.076,82.325,82.006,82.484,82.484,84.395,84.236,84.873,85.191,86.624,86.624,86.624,86.465,86.624,86.624,85.828,85.987,85.987,84.236,100.0,72.452,71.815,72.611,70.223,72.611,77.229,74.363,75.318,71.975,75.318,75.637,84.076,83.28,84.236,83.758,82.325,82.325,82.166,82.166
Psept_227,59.395,60.032,62.58,62.58,74.841,74.363,75.0,72.611,73.408,73.408,74.841,74.522,74.204,75.159,74.204,74.204,74.204,74.045,74.363,74.045,74.363,74.522,74.522,76.592,72.452,100.0,80.732,83.121,81.21,80.892,67.038,63.854,64.65,61.624,63.217,64.49,75.0,73.885,75.0,74.204,74.682,75.0,72.452,73.089
Pdec_223,58.599,60.828,61.465,61.465,75.159,75.159,75.637,73.248,73.567,73.567,73.885,74.204,75.318,75.0,73.726,73.726,73.726,73.567,73.885,73.726,74.522,74.682,74.682,75.0,71.815,80.732,100.0,81.847,81.529,77.866,67.197,64.013,64.172,63.217,63.217,65.764,75.637,74.682,74.841,75.0,75.318,75.637,72.93,73.248
Psex_AZ8-4,60.35,61.306,62.739,62.739,76.274,75.955,76.274,74.522,75.159,75.159,77.707,78.025,77.229,77.229,74.522,74.522,74.522,74.363,74.522,74.522,74.204,74.363,74.363,76.911,72.611,83.121,81.847,100.0,79.459,80.255,67.675,66.083,65.287,63.694,64.013,64.49,76.115,75.796,75.796,75.796,75.955,76.274,73.408,74.841
Ptetr_51,59.713,60.987,60.35,60.35,74.522,74.682,75.637,72.771,72.93,72.93,74.682,75.0,75.796,75.159,72.611,72.611,72.611,72.452,72.93,72.611,72.452,72.611,72.611,74.045,70.223,81.21,81.529,79.459,100.0,79.299,65.446,63.535,63.535,62.261,62.42,64.172,74.682,75.0,73.726,74.522,75.318,75.637,72.771,72.611
Pjen_M,60.191,60.828,63.057,63.057,77.07,76.592,77.548,74.682,74.682,74.682,77.866,77.548,76.592,76.911,75.478,75.478,75.478,75.318,75.478,75.478,74.841,75.0,75.0,76.752,72.611,80.892,77.866,80.255,79.299,100.0,67.197,65.446,65.127,64.172,63.376,66.72,77.229,76.433,76.274,76.274,77.229,77.548,75.159,74.363
Ppol_TR-5,69.108,68.79,73.089,73.089,77.548,78.025,76.752,76.274,77.07,77.07,76.592,76.911,76.274,76.433,76.752,76.752,76.752,76.592,76.592,76.752,75.796,75.955,75.955,77.229,77.229,67.038,67.197,67.675,65.446,67.197,100.0,76.911,76.274,71.019,73.885,74.045,78.185,77.866,78.344,77.707,76.433,76.752,76.274,76.752
Pnephr_PnC72,67.357,66.72,70.541,70.541,73.089,73.408,71.178,71.975,72.93,72.93,74.682,74.682,73.567,73.567,74.045,74.045,74.045,73.885,74.204,74.045,73.567,73.726,73.726,73.408,74.363,63.854,64.013,66.083,63.535,65.446,76.911,100.0,74.841,68.153,71.019,72.771,73.089,73.408,73.248,73.089,71.019,71.178,71.338,72.611
Pcalk_GN5-1,67.994,67.994,72.771,72.771,75.0,75.159,73.248,74.522,75.0,75.0,75.478,75.478,74.841,75.955,77.229,77.229,77.229,77.07,77.07,77.229,75.955,76.115,76.115,75.478,75.318,64.65,64.172,65.287,63.535,65.127,76.274,74.841,100.0,72.611,72.93,72.452,75.159,74.204,75.159,74.841,73.248,73.248,74.522,74.682
Pdub_PdC95,68.949,69.108,67.357,67.357,75.159,74.682,73.408,75.159,74.522,74.522,74.522,74.363,72.771,73.089,74.363,74.363,74.363,74.204,74.363,74.204,73.567,73.726,73.726,71.975,71.975,61.624,63.217,63.694,62.261,64.172,71.019,68.153,72.611,100.0,79.777,74.204,75.796,75.0,75.159,74.363,73.089,73.408,74.363,74.204
Pput_PG-5,72.134,73.089,70.064,70.064,75.318,75.955,74.682,75.478,75.478,75.478,76.592,76.592,75.955,75.637,75.318,75.318,75.318,75.159,75.478,75.159,74.522,74.682,74.682,75.796,75.318,63.217,63.217,64.013,62.42,63.376,73.885,71.019,72.93,79.777,100.0,76.752,76.115,75.796,75.955,75.637,74.682,74.682,75.0,75.159
Pbuet_N06,70.382,69.586,71.019,71.019,75.637,75.478,73.567,75.955,75.318,75.318,75.796,75.955,74.045,74.682,75.0,75.0,75.0,74.841,75.0,74.841,74.522,74.682,74.682,74.363,75.637,64.49,65.764,64.49,64.172,66.72,74.045,72.771,72.452,74.204,76.752,100.0,76.115,75.318,75.637,75.159,73.408,73.567,75.955,75.0
Pmult_R51-6,70.701,72.293,70.86,70.86,98.885,96.338,95.86,91.561,93.153,93.153,87.739,87.58,89.013,87.261,87.739,87.739,87.739,87.58,87.898,87.739,86.624,86.783,86.783,86.465,84.076,75.0,75.637,76.115,74.682,77.229,78.185,73.089,75.159,75.796,76.115,76.115,100.0,97.611,96.815,96.019,95.541,95.86,91.72,92.834
Pmult_SK6-3,70.064,72.293,70.541,70.541,97.452,95.86,95.064,91.879,92.197,92.197,86.943,87.102,88.854,86.624,86.624,86.624,86.624,86.465,86.624,86.624,85.669,85.828,85.828,85.191,83.28,73.885,74.682,75.796,75.0,76.433,77.866,73.408,74.204,75.0,75.796,75.318,97.611,100.0,96.656,95.541,95.064,95.064,91.083,91.879
Pmult_C3,70.86,72.93,71.497,71.497,96.656,97.771,95.86,91.72,92.675,92.675,86.943,86.783,88.694,87.42,86.783,86.783,86.783,86.624,86.624,86.783,85.987,86.146,86.146,85.35,84.236,75.0,74.841,75.796,73.726,76.274,78.344,73.248,75.159,75.159,75.955,75.637,96.815,96.656,100.0,97.452,95.541,95.86,91.879,92.357
Pmult_ThK-16,70.701,72.771,71.178,71.178,95.223,99.682,94.904,91.401,92.197,92.197,87.102,87.261,88.535,86.306,85.987,85.987,85.987,85.828,86.146,85.987,85.191,85.35,85.35,84.713,83.758,74.204,75.0,75.796,74.522,76.274,77.707,73.089,74.841,74.363,75.637,75.159,96.019,95.541,97.452,100.0,94.586,94.904,91.242,91.879
Pmult_MB2-5,68.949,71.338,70.064,70.064,95.064,94.904,99.682,89.968,90.605,90.605,85.032,84.873,87.42,85.191,85.987,85.987,85.987,85.828,86.146,85.987,84.873,85.032,85.032,84.554,82.325,74.682,75.318,75.955,75.318,77.229,76.433,71.019,73.248,73.089,74.682,73.408,95.541,95.064,95.541,94.586,100.0,99.682,89.809,90.287
Pmult_IP2-1,68.949,71.338,70.223,70.223,95.382,95.223,100.0,89.968,90.924,90.924,85.35,85.191,87.739,85.51,85.987,85.987,85.987,85.828,86.146,85.987,84.873,85.032,85.032,84.554,82.325,75.0,75.637,76.274,75.637,77.548,76.752,71.178,73.248,73.408,74.682,73.567,95.86,95.064,95.86,94.904,99.682,100.0,89.809,90.605
Pfok_US_Bl_16I1,69.268,72.293,69.745,69.745,90.605,91.561,89.809,96.019,93.79,93.79,84.873,84.873,85.35,85.987,85.828,85.828,85.828,85.669,85.669,85.828,85.191,85.032,85.032,85.032,82.166,72.452,72.93,73.408,72.771,75.159,76.274,71.338,74.522,74.363,75.0,75.955,91.72,91.083,91.879,91.242,89.809,89.809,100.0,93.471
Pfok_N6,69.427,72.771,69.586,69.586,91.72,92.197,90.605,92.357,99.682,99.682,85.987,85.828,85.032,85.35,85.51,85.51,85.51,85.35,85.35,85.51,84.713,84.873,84.873,85.987,82.166,73.089,73.248,74.841,72.611,74.363,76.752,72.611,74.682,74.204,75.159,75.0,92.834,91.879,92.357,91.879,90.287,90.605,93.471,100.0
