,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pcaud_V-1,28.503,28.822,27.866,27.866,12.739,12.58,14.65,15.127,13.694,13.694,0.0,0.796,7.006,7.962,12.261,12.261,12.261,12.42,11.943,12.261,13.057,12.898,12.898,12.42,15.605,25.159,26.115,22.293,24.841,22.134,23.408,25.318,24.522,24.522,22.452,24.204,12.261,13.057,13.057,12.898,14.968,14.65,15.127,14.013
Pcaud_OR4-4,28.662,28.981,28.344,28.344,12.58,12.42,14.809,14.49,13.854,13.854,0.796,0.0,7.166,7.643,12.261,12.261,12.261,12.42,11.943,12.261,13.057,12.898,12.898,12.261,15.764,25.478,25.796,21.975,24.522,22.452,23.089,25.318,24.522,24.682,22.452,24.045,12.42,12.898,13.217,12.739,15.127,14.809,15.127,14.172
Pcaud_SH42,29.299,29.618,29.459,29.459,11.146,11.146,12.261,14.49,14.65,14.65,7.006,7.166,0.0,8.917,11.306,11.306,11.306,11.465,11.146,11.306,12.42,12.261,12.261,13.376,15.127,25.796,24.682,22.771,23.726,23.408,23.726,26.433,25.159,26.274,23.089,25.955,10.987,11.146,11.306,11.465,12.58,12.261,14.65,14.968
Pcaud_INL-1,29.14,28.662,28.025,28.025,12.898,13.376,14.49,14.49,14.331,14.331,7.962,7.643,8.917,0.0,10.828,10.828,10.828,10.987,10.987,10.828,11.306,11.146,11.146,12.739,14.809,24.841,25.0,22.771,24.363,23.089,23.567,26.433,24.045,25.955,23.408,25.318,12.739,13.376,12.58,13.694,14.809,14.49,14.013,14.65
Plyn_SD11-9,26.592,26.911,27.229,27.229,13.057,13.694,14.013,14.172,14.172,14.172,12.261,12.261,11.306,10.828,0.0,0.0,0.0,0.159,0.318,0.159,2.07,1.911,1.911,13.694,13.376,25.796,26.274,25.478,26.911,24.522,23.248,25.955,22.771,24.682,23.726,25.0,12.261,13.376,13.217,14.013,14.013,14.013,14.172,14.49
Plyn_V105-1,26.592,26.911,27.229,27.229,13.057,13.694,14.013,14.172,14.172,14.172,12.261,12.261,11.306,10.828,0.0,0.0,0.0,0.159,0.318,0.159,2.07,1.911,1.911,13.694,13.376,25.796,26.274,25.478,26.911,24.522,23.248,25.955,22.771,24.682,23.726,25.0,12.261,13.376,13.217,14.013,14.013,14.013,14.172,14.49
Plyn_PO16-1,26.592,26.911,27.229,27.229,13.057,13.694,14.013,14.172,14.172,14.172,12.261,12.261,11.306,10.828,0.0,0.0,0.0,0.159,0.318,0.159,2.07,1.911,1.911,13.694,13.376,25.796,26.274,25.478,26.911,24.522,23.248,25.955,22.771,24.682,23.726,25.0,12.261,13.376,13.217,14.013,14.013,14.013,14.172,14.49
Plyn_CB8-2,26.752,27.07,27.389,27.389,13.217,13.854,14.172,14.331,14.331,14.331,12.42,12.42,11.465,10.987,0.159,0.159,0.159,0.0,0.478,0.318,2.229,2.07,2.07,13.854,13.535,25.955,26.433,25.637,27.07,24.682,23.408,26.115,22.93,24.841,23.885,25.159,12.42,13.535,13.376,14.172,14.172,14.172,14.331,14.65
Plyn_HSG3-10,26.752,26.911,27.229,27.229,12.898,13.535,13.854,14.49,14.331,14.331,11.943,11.943,11.146,10.987,0.318,0.318,0.318,0.478,0.0,0.478,2.07,1.911,1.911,13.376,13.376,25.637,26.115,25.478,26.592,24.522,23.408,25.796,22.93,24.682,23.567,25.0,12.102,13.376,13.376,13.854,13.854,13.854,14.331,14.65
Plyn_SP-1,26.592,26.911,27.229,27.229,13.057,13.694,14.013,14.172,14.172,14.172,12.261,12.261,11.306,10.828,0.159,0.159,0.159,0.318,0.478,0.0,2.229,2.07,2.07,13.694,13.376,25.955,26.274,25.478,26.911,24.522,23.248,25.955,22.771,24.841,23.885,25.159,12.261,13.376,13.217,14.013,14.013,14.013,14.172,14.49
Plyn_TRB101-1,26.911,26.911,27.866,27.866,14.172,14.49,15.127,14.968,14.968,14.968,13.057,13.057,12.42,11.306,2.07,2.07,2.07,2.229,2.07,2.229,0.0,0.159,0.159,14.013,14.172,25.637,25.478,25.796,27.07,25.159,24.204,26.433,24.045,25.478,24.522,25.478,13.376,14.331,14.013,14.809,15.127,15.127,14.809,15.287
Plyn_TRB101-4,26.911,26.752,27.707,27.707,14.013,14.331,14.968,15.127,14.809,14.809,12.898,12.898,12.261,11.146,1.911,1.911,1.911,2.07,1.911,2.07,0.159,0.0,0.0,13.854,14.013,25.478,25.318,25.637,26.911,25.0,24.045,26.274,23.885,25.318,24.363,25.318,13.217,14.172,13.854,14.65,14.968,14.968,14.968,15.127
Plyn_ShKm41,26.911,26.752,27.707,27.707,14.013,14.331,14.968,15.127,14.809,14.809,12.898,12.898,12.261,11.146,1.911,1.911,1.911,2.07,1.911,2.07,0.159,0.0,0.0,13.854,14.013,25.478,25.318,25.637,26.911,25.0,24.045,26.274,23.885,25.318,24.363,25.318,13.217,14.172,13.854,14.65,14.968,14.968,14.968,15.127
Psp_FT8,28.662,28.185,28.503,28.503,14.65,14.968,15.446,14.968,13.694,13.694,12.42,12.261,13.376,12.739,13.694,13.694,13.694,13.854,13.376,13.694,14.013,13.854,13.854,0.0,15.764,23.408,25.0,23.089,25.478,23.248,22.771,26.592,24.522,27.07,23.248,25.637,13.535,14.809,14.65,15.287,15.446,15.446,14.968,14.013
Pgerm_GO1,27.548,27.07,28.662,28.662,16.561,15.924,17.675,17.994,17.516,17.516,15.605,15.764,15.127,14.809,13.376,13.376,13.376,13.535,13.376,13.376,14.172,14.013,14.013,15.764,0.0,27.548,28.185,27.389,29.299,27.389,22.771,25.637,24.682,27.07,23.726,24.363,15.924,16.72,15.764,16.242,17.675,17.675,17.834,17.834
Psept_227,40.605,39.968,37.42,37.42,25.159,25.637,25.0,27.389,26.592,26.592,25.159,25.478,25.796,24.841,25.796,25.796,25.796,25.955,25.637,25.955,25.637,25.478,25.478,23.408,27.548,0.0,19.268,16.879,18.312,19.108,32.962,36.146,35.35,37.42,35.828,35.51,25.0,26.115,25.0,25.796,25.318,25.0,27.548,26.911
Pdec_223,41.401,39.172,38.535,38.535,24.841,24.841,24.363,26.752,26.433,26.433,26.115,25.796,24.682,25.0,26.274,26.274,26.274,26.433,26.115,26.274,25.478,25.318,25.318,25.0,28.185,19.268,0.0,18.153,17.994,22.134,32.803,35.987,35.828,35.828,35.828,34.236,24.363,25.318,25.159,25.0,24.682,24.363,27.07,26.752
Psex_AZ8-4,39.65,38.694,37.261,37.261,23.726,24.045,23.726,25.478,24.841,24.841,22.293,21.975,22.771,22.771,25.478,25.478,25.478,25.637,25.478,25.478,25.796,25.637,25.637,23.089,27.389,16.879,18.153,0.0,20.064,19.745,32.325,33.917,34.713,35.35,35.032,35.51,23.885,24.204,24.204,24.204,24.045,23.726,26.592,25.159
Ptetr_51,39.809,38.535,39.172,39.172,25.0,24.841,23.885,26.752,26.592,26.592,24.841,24.522,23.726,24.363,26.911,26.911,26.911,27.07,26.592,26.911,27.07,26.911,26.911,25.478,29.299,18.312,17.994,20.064,0.0,20.223,34.076,35.987,35.987,36.306,36.146,35.35,24.841,24.522,25.796,25.0,24.204,23.885,26.752,26.911
Pjen_M,39.809,39.172,36.943,36.943,22.93,23.408,22.452,25.318,25.318,25.318,22.134,22.452,23.408,23.089,24.522,24.522,24.522,24.682,24.522,24.522,25.159,25.0,25.0,23.248,27.389,19.108,22.134,19.745,20.223,0.0,32.803,34.554,34.873,34.873,35.669,33.28,22.771,23.567,23.726,23.726,22.771,22.452,24.841,25.637
Ppol_TR-5,30.892,31.21,26.911,26.911,22.452,21.975,23.248,23.726,22.93,22.93,23.408,23.089,23.726,23.567,23.248,23.248,23.248,23.408,23.408,23.248,24.204,24.045,24.045,22.771,22.771,32.962,32.803,32.325,34.076,32.803,0.0,23.089,23.726,28.025,25.159,25.955,21.815,22.134,21.656,22.293,23.567,23.248,23.726,23.248
Pnephr_PnC72,32.643,33.28,29.459,29.459,26.911,26.592,28.822,28.025,27.07,27.07,25.318,25.318,26.433,26.433,25.955,25.955,25.955,26.115,25.796,25.955,26.433,26.274,26.274,26.592,25.637,36.146,35.987,33.917,35.987,34.554,23.089,0.0,25.159,30.892,28.025,27.229,26.911,26.592,26.752,26.911,28.981,28.822,28.662,27.389
Pcalk_GN5-1,32.006,32.006,27.229,27.229,25.0,24.841,26.752,25.478,25.0,25.0,24.522,24.522,25.159,24.045,22.771,22.771,22.771,22.93,22.93,22.771,24.045,23.885,23.885,24.522,24.682,35.35,35.828,34.713,35.987,34.873,23.726,25.159,0.0,26.433,26.115,27.548,24.841,25.796,24.841,25.159,26.752,26.752,25.478,25.318
Pdub_PdC95,30.096,29.936,31.688,31.688,23.885,24.363,25.637,23.885,24.522,24.522,24.522,24.682,26.274,25.955,24.682,24.682,24.682,24.841,24.682,24.841,25.478,25.318,25.318,27.07,27.07,37.42,35.828,35.35,36.306,34.873,28.025,30.892,26.433,0.0,20.223,24.841,23.248,24.045,23.885,24.682,25.955,25.637,24.682,24.841
Pput_PG-5,26.911,25.955,28.981,28.981,23.726,23.089,24.363,23.567,23.567,23.567,22.452,22.452,23.089,23.408,23.726,23.726,23.726,23.885,23.567,23.885,24.522,24.363,24.363,23.248,23.726,35.828,35.828,35.032,36.146,35.669,25.159,28.025,26.115,20.223,0.0,22.293,22.93,23.248,23.089,23.408,24.363,24.363,24.045,23.885
Pbuet_N06,29.618,30.414,28.981,28.981,24.363,24.522,26.433,24.045,24.682,24.682,24.204,24.045,25.955,25.318,25.0,25.0,25.0,25.159,25.0,25.159,25.478,25.318,25.318,25.637,24.363,35.51,34.236,35.51,35.35,33.28,25.955,27.229,27.548,24.841,22.293,0.0,23.885,24.682,24.363,24.841,26.592,26.433,24.045,25.0
Pmult_R51-6,29.299,27.707,29.14,29.14,1.115,3.662,4.14,8.439,6.847,6.847,12.261,12.42,10.987,12.739,12.261,12.261,12.261,12.42,12.102,12.261,13.376,13.217,13.217,13.535,15.924,25.0,24.363,23.885,24.841,22.771,21.815,26.911,24.841,23.248,22.93,23.885,0.0,2.389,3.185,3.981,4.459,4.14,8.28,7.166
Pmult_SK6-3,29.936,27.707,29.459,29.459,2.548,4.14,4.936,8.121,7.803,7.803,13.057,12.898,11.146,13.376,13.376,13.376,13.376,13.535,13.376,13.376,14.331,14.172,14.172,14.809,16.72,26.115,25.318,24.204,24.522,23.567,22.134,26.592,25.796,24.045,23.248,24.682,2.389,0.0,3.344,4.459,4.936,4.936,8.917,8.121
Pmult_C3,29.14,27.07,28.503,28.503,3.344,2.229,4.14,8.28,7.325,7.325,13.057,13.217,11.306,12.58,13.217,13.217,13.217,13.376,13.376,13.217,14.013,13.854,13.854,14.65,15.764,25.0,25.159,24.204,25.796,23.726,21.656,26.752,24.841,23.885,23.089,24.363,3.185,3.344,0.0,2.548,4.459,4.14,8.121,7.643
Pmult_ThK-16,29.299,27.229,28.822,28.822,4.777,0.318,5.096,8.599,7.803,7.803,12.898,12.739,11.465,13.694,14.013,14.013,14.013,14.172,13.854,14.013,14.809,14.65,14.65,15.287,16.242,25.796,25.0,24.204,25.0,23.726,22.293,26.911,25.159,24.682,23.408,24.841,3.981,4.459,2.548,0.0,5.414,5.096,8.758,8.121
Pmult_MB2-5,31.051,28.662,29.936,29.936,4.936,5.096,0.318,10.032,9.395,9.395,14.968,15.127,12.58,14.809,14.013,14.013,14.013,14.172,13.854,14.013,15.127,14.968,14.968,15.446,17.675,25.318,24.682,24.045,24.204,22.771,23.567,28.981,26.752,25.955,24.363,26.592,4.459,4.936,4.459,5.414,0.0,0.318,10.191,9.713
Pmult_IP2-1,31.051,28.662,29.777,29.777,4.618,4.777,0.0,10.032,9.076,9.076,14.65,14.809,12.261,14.49,14.013,14.013,14.013,14.172,13.854,14.013,15.127,14.968,14.968,15.446,17.675,25.0,24.363,23.726,23.885,22.452,23.248,28.822,26.752,25.637,24.363,26.433,4.14,4.936,4.14,5.096,0.318,0.0,10.191,9.395
Pfok_US_Bl_16I1,30.732,27.707,30.255,30.255,9.395,8.439,10.191,3.981,6.21,6.21,15.127,15.127,14.65,14.013,14.172,14.172,14.172,14.331,14.331,14.172,14.809,14.968,14.968,14.968,17.834,27.548,27.07,26.592,26.752,24.841,23.726,28.662,25.478,24.682,24.045,24.045,8.28,8.917,8.121,8.758,10.191,10.191,0.0,6.529
Pfok_N6,30.573,27.229,30.414,30.414,8.28,7.803,9.395,7.643,0.318,0.318,14.013,14.172,14.968,14.65,14.49,14.49,14.49,14.65,14.65,14.49,15.287,15.127,15.127,14.013,17.834,26.911,26.752,25.159,26.911,25.637,23.248,27.389,25.318,24.841,23.885,25.0,7.166,8.121,7.643,8.121,9.713,9.395,6.529,0.0
