,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pmult_ThK-16,0.319,0.395,0.319,0.309,0.264,0.264,0.264,0.464,0.527,0.527,4.611,4.084,4.48,4.48,2.24,2.372,2.351,4.946,4.084,4.084,4.354,4.216,4.348,4.389,0.264,4.611,0.0,5.329,4.48,4.48,4.48,4.48,4.48,7.115,7.115,7.492,7.115,7.832,7.884,7.115,7.48,7.115,7.24,7.105,7.943,7.884
Pmult_MB2-5,5.112,5.172,5.112,5.112,5.016,5.016,5.016,5.272,5.329,5.016,4.859,4.545,4.859,4.859,4.389,4.389,4.545,6.55,4.702,4.545,4.396,4.232,4.389,4.545,5.016,0.313,5.329,0.0,0.313,0.313,0.313,0.313,0.313,9.248,9.248,9.446,9.248,9.764,9.921,9.248,10.031,9.248,9.248,9.233,8.976,8.976
Pmult_OLI-Parame-mult-03,4.792,4.348,4.792,4.637,4.216,4.216,4.216,4.791,4.48,4.216,4.48,4.216,4.875,4.875,3.821,3.953,4.232,6.337,4.48,4.216,4.222,4.084,3.953,4.232,4.216,0.132,4.48,0.313,0.0,0.0,0.0,0.0,0.0,8.432,8.432,9.121,8.432,9.577,9.618,8.432,9.618,8.432,8.607,8.421,9.104,9.091
Pmult_C12,4.792,4.348,4.792,4.637,4.216,4.216,4.216,4.791,4.48,4.216,4.48,4.216,4.875,4.875,3.821,3.953,4.232,6.337,4.48,4.216,4.222,4.084,3.953,4.232,4.216,0.132,4.48,0.313,0.0,0.0,0.0,0.0,0.0,8.432,8.432,9.121,8.432,9.577,9.618,8.432,9.618,8.432,8.607,8.421,9.104,9.091
Pmult_Chp5-3,4.792,4.348,4.792,4.637,4.216,4.216,4.216,4.791,4.48,4.216,4.48,4.216,4.875,4.875,3.821,3.953,4.232,6.337,4.48,4.216,4.222,4.084,3.953,4.232,4.216,0.132,4.48,0.313,0.0,0.0,0.0,0.0,0.0,8.432,8.432,9.121,8.432,9.577,9.618,8.432,9.618,8.432,8.607,8.421,9.104,9.091
Pmult_E59-1B,4.792,4.348,4.792,4.637,4.216,4.216,4.216,4.791,4.48,4.216,4.48,4.216,4.875,4.875,3.821,3.953,4.232,6.337,4.48,4.216,4.222,4.084,3.953,4.232,4.216,0.132,4.48,0.313,0.0,0.0,0.0,0.0,0.0,8.432,8.432,9.121,8.432,9.577,9.618,8.432,9.618,8.432,8.607,8.421,9.104,9.091
Pmult_IP2-1,4.792,4.348,4.792,4.637,4.216,4.216,4.216,4.791,4.48,4.216,4.48,4.216,4.875,4.875,3.821,3.953,4.232,6.337,4.48,4.216,4.222,4.084,3.953,4.232,4.216,0.132,4.48,0.313,0.0,0.0,0.0,0.0,0.0,8.432,8.432,9.121,8.432,9.577,9.618,8.432,9.618,8.432,8.607,8.421,9.104,9.091
Pfok_SMM81-1,7.508,6.719,7.508,7.573,6.851,6.851,6.851,7.728,7.115,7.115,7.246,6.456,7.378,7.378,6.851,6.719,7.053,8.501,6.719,6.456,6.728,6.588,6.983,7.524,6.851,8.564,7.115,9.248,8.432,8.432,8.432,8.432,8.432,0.0,0.0,0.0,0.0,7.293,7.51,0.0,6.588,0.132,0.0,0.132,6.97,6.983
Pfok_T42-1,7.508,6.719,7.508,7.573,6.851,6.851,6.851,7.728,7.115,7.115,7.246,6.456,7.378,7.378,6.851,6.719,7.053,8.501,6.719,6.456,6.728,6.588,6.983,7.524,6.851,8.564,7.115,9.248,8.432,8.432,8.432,8.432,8.432,0.0,0.0,0.0,0.0,7.293,7.51,0.0,6.588,0.132,0.0,0.132,6.97,6.983
Pfok_AM,7.492,7.329,7.492,7.492,7.492,7.492,7.492,7.655,7.818,7.818,7.98,6.84,7.438,7.438,7.329,7.329,7.166,8.469,7.003,6.84,7.178,7.003,7.492,7.655,7.492,9.121,7.492,9.446,9.121,9.121,9.121,9.121,9.121,0.0,0.0,0.0,0.0,7.293,7.455,0.0,6.321,0.162,0.0,0.162,6.807,6.807
Pfok_M04,7.508,6.719,7.508,7.573,6.851,6.851,6.851,7.728,7.115,7.115,7.246,6.456,7.378,7.378,6.851,6.719,7.053,8.501,6.719,6.456,6.728,6.588,6.983,7.524,6.851,8.564,7.115,9.248,8.432,8.432,8.432,8.432,8.432,0.0,0.0,0.0,0.0,7.293,7.51,0.0,6.588,0.132,0.0,0.132,6.97,6.983
Pfok_BR,7.484,7.413,7.484,7.484,7.552,7.552,7.552,7.643,7.832,7.552,8.555,8.415,7.563,7.563,8.135,8.135,8.189,8.772,7.972,8.415,8.427,8.275,8.451,8.504,7.552,9.718,7.832,9.764,9.577,9.577,9.577,9.577,9.577,7.293,7.293,7.293,7.293,0.0,0.14,7.293,4.05,7.433,7.293,7.423,1.32,1.257
Pfok_strain12,7.643,7.49,7.643,7.55,7.622,7.622,7.622,7.704,7.884,7.622,8.432,8.3,7.763,7.763,8.3,8.169,8.346,8.796,8.016,8.3,8.311,8.169,8.432,8.661,7.622,9.75,7.884,9.921,9.618,9.618,9.618,9.618,9.618,7.51,7.51,7.455,7.51,0.14,0.0,7.51,4.216,7.642,7.387,7.632,1.422,1.318
Pfok_CyL3-21,7.508,6.719,7.508,7.573,6.851,6.851,6.851,7.728,7.115,7.115,7.246,6.456,7.378,7.378,6.851,6.719,7.053,8.501,6.719,6.456,6.728,6.588,6.983,7.524,6.851,8.564,7.115,9.248,8.432,8.432,8.432,8.432,8.432,0.0,0.0,0.0,0.0,7.293,7.51,0.0,6.588,0.132,0.0,0.132,6.97,6.983
Pfok_US_Bl_16I1,6.969,7.087,6.969,7.053,7.218,7.218,7.218,6.897,7.48,7.48,8.421,7.895,8.158,8.158,7.905,7.773,8.15,9.119,7.612,7.895,8.169,8.026,8.158,8.451,7.218,9.75,7.48,10.031,9.618,9.618,9.618,9.618,9.618,6.588,6.588,6.321,6.588,4.05,4.216,6.588,0.0,6.719,6.345,6.711,3.698,3.689
Pfok_PL4-1,7.508,6.719,7.508,7.573,6.851,6.851,6.851,7.728,7.115,7.115,7.246,6.456,7.378,7.378,6.851,6.719,7.053,8.501,6.719,6.456,6.728,6.588,6.983,7.524,6.851,8.564,7.115,9.248,8.432,8.432,8.432,8.432,8.432,0.132,0.132,0.162,0.132,7.433,7.642,0.132,6.719,0.0,0.137,0.263,7.112,7.115
Pfok_strain14,7.508,6.831,7.508,7.609,6.967,6.967,6.967,7.764,7.24,7.24,7.377,6.557,7.377,7.377,6.831,6.694,7.053,8.54,6.694,6.557,6.84,6.694,7.104,7.524,6.967,8.743,7.24,9.248,8.607,8.607,8.607,8.607,8.607,0.0,0.0,0.0,0.0,7.293,7.387,0.0,6.345,0.137,0.0,0.136,7.0,6.84
Pfok_N6,7.496,6.711,7.496,7.562,6.842,6.842,6.842,7.716,7.105,7.105,7.368,6.579,7.5,7.5,6.842,6.711,7.042,8.488,6.842,6.579,6.851,6.711,7.105,7.668,6.842,8.553,7.105,9.233,8.421,8.421,8.421,8.421,8.421,0.132,0.132,0.162,0.132,7.423,7.632,0.132,6.711,0.263,0.136,0.0,7.102,7.105
Pfok_OLI-Parame-mult-01,7.143,7.518,7.143,7.064,7.66,7.66,7.66,7.221,7.943,7.66,8.097,7.812,7.518,7.518,7.681,7.539,7.717,8.796,7.365,7.812,7.824,7.67,7.955,8.019,7.66,9.246,7.943,8.976,9.104,9.104,9.104,9.104,9.104,6.97,6.97,6.807,6.97,1.32,1.422,6.97,3.698,7.112,7.0,7.102,0.0,0.0
Pfok_OLI-Parame-mult-02,7.143,7.49,7.143,7.064,7.622,7.622,7.622,7.221,7.884,7.622,7.895,7.632,7.49,7.49,7.773,7.642,7.717,8.796,7.349,7.632,7.642,7.5,7.895,8.019,7.622,9.223,7.884,8.976,9.091,9.091,9.091,9.091,9.091,6.983,6.983,6.807,6.983,1.257,1.318,6.983,3.689,7.115,6.84,7.105,0.0,0.0
