,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Plyn_CB8-2,26.837,27.157,27.476,27.476,13.419,14.058,14.377,14.537,14.537,14.537,12.46,12.46,11.502,11.022,0.16,0.16,0.16,0.0,0.479,0.319,2.236,2.077,2.077,13.898,13.578,26.038,26.518,25.719,27.157,24.76,23.482,26.198,23.003,27.476,24.92,25.24
Plyn_HSG3-10,26.837,26.997,27.316,27.316,13.099,13.738,14.058,14.696,14.537,14.537,11.981,11.981,11.182,11.022,0.319,0.319,0.319,0.479,0.0,0.479,2.077,1.917,1.917,13.419,13.419,25.719,26.198,25.559,26.677,24.601,23.482,25.879,23.003,27.157,24.76,25.08
Plyn_SP-1,26.677,26.997,27.316,27.316,13.259,13.898,14.217,14.377,14.377,14.377,12.3,12.3,11.342,10.863,0.16,0.16,0.16,0.319,0.479,0.0,2.236,2.077,2.077,13.738,13.419,26.038,26.358,25.559,26.997,24.601,23.323,26.038,22.843,27.476,24.92,25.24
Plyn_TRB101-1,26.997,26.997,27.955,27.955,14.377,14.696,15.335,15.176,15.176,15.176,13.099,13.099,12.46,11.342,2.077,2.077,2.077,2.236,2.077,2.236,0.0,0.16,0.16,14.058,14.217,25.719,25.559,25.879,27.157,25.24,24.281,26.518,24.121,28.115,25.559,25.559
Plyn_TRB101-4,26.997,26.837,27.796,27.796,14.217,14.537,15.176,15.335,15.016,15.016,12.939,12.939,12.3,11.182,1.917,1.917,1.917,2.077,1.917,2.077,0.16,0.0,0.0,13.898,14.058,25.559,25.399,25.719,26.997,25.08,24.121,26.358,23.962,27.955,25.399,25.399
Plyn_ShKm41,26.997,26.837,27.796,27.796,14.217,14.537,15.176,15.335,15.016,15.016,12.939,12.939,12.3,11.182,1.917,1.917,1.917,2.077,1.917,2.077,0.16,0.0,0.0,13.898,14.058,25.559,25.399,25.719,26.997,25.08,24.121,26.358,23.962,27.955,25.399,25.399
Psp_FT8,28.754,28.275,28.594,28.594,14.856,15.176,15.655,15.176,13.898,13.898,12.46,12.3,13.419,12.78,13.738,13.738,13.738,13.898,13.419,13.738,14.058,13.898,13.898,0.0,15.815,23.482,25.08,23.163,25.559,23.323,22.843,26.677,24.601,29.073,24.601,25.719
Pgerm_GO1,27.636,27.157,28.754,28.754,16.773,16.134,17.891,18.211,17.732,17.732,15.655,15.815,15.176,14.856,13.419,13.419,13.419,13.578,13.419,13.419,14.217,14.058,14.058,15.815,0.0,27.636,28.275,27.476,29.393,27.476,22.843,25.719,24.76,27.636,25.24,24.441
Psept_227,40.735,40.096,37.54,37.54,25.399,25.879,25.24,27.636,26.837,26.837,25.24,25.559,25.879,24.92,25.879,25.879,25.879,26.038,25.719,26.038,25.719,25.559,25.559,23.482,27.636,0.0,19.329,16.933,18.371,19.169,33.067,36.262,35.463,38.818,36.422,35.623
Pdec_223,41.534,39.297,38.658,38.658,25.08,25.08,24.601,26.997,26.677,26.677,26.198,25.879,24.76,25.08,26.358,26.358,26.358,26.518,26.198,26.358,25.559,25.399,25.399,25.08,28.275,19.329,0.0,18.211,18.051,22.204,32.907,36.102,35.942,36.741,36.741,34.345
Psex_AZ8-4,39.776,38.818,37.38,37.38,23.962,24.281,23.962,25.719,25.08,25.08,22.364,22.045,22.843,22.843,25.559,25.559,25.559,25.719,25.559,25.559,25.879,25.719,25.719,23.163,27.476,16.933,18.211,0.0,20.128,19.808,32.428,34.026,34.824,36.741,35.623,35.623
Ptetr_51,39.936,38.658,39.297,39.297,25.24,25.08,24.121,26.997,26.837,26.837,24.92,24.601,23.802,24.441,26.997,26.997,26.997,27.157,26.677,26.997,27.157,26.997,26.997,25.559,29.393,18.371,18.051,20.128,0.0,20.288,34.185,36.102,36.102,38.179,37.061,35.463
Pjen_M,39.936,39.297,37.061,37.061,23.163,23.642,22.684,25.559,25.559,25.559,22.204,22.524,23.482,23.163,24.601,24.601,24.601,24.76,24.601,24.601,25.24,25.08,25.08,23.323,27.476,19.169,22.204,19.808,20.288,0.0,32.907,34.665,34.984,36.581,36.422,33.387
Ppol_TR-5,30.99,31.31,26.997,26.997,22.684,22.204,23.482,23.962,23.163,23.163,23.482,23.163,23.802,23.642,23.323,23.323,23.323,23.482,23.482,23.323,24.281,24.121,24.121,22.843,22.843,33.067,32.907,32.428,34.185,32.907,0.0,23.163,23.802,27.476,23.962,26.038
Pnephr_PnC72,32.748,33.387,29.553,29.553,27.157,26.837,29.073,28.275,27.316,27.316,25.399,25.399,26.518,26.518,26.038,26.038,26.038,26.198,25.879,26.038,26.518,26.358,26.358,26.677,25.719,36.262,36.102,34.026,36.102,34.665,23.163,0.0,25.24,29.233,28.754,27.316
Pcalk_GN5-1,32.109,32.109,27.316,27.316,25.24,25.08,26.997,25.719,25.24,25.24,24.601,24.601,25.24,24.121,22.843,22.843,22.843,23.003,23.003,22.843,24.121,23.962,23.962,24.601,24.76,35.463,35.942,34.824,36.102,34.984,23.802,25.24,0.0,26.677,26.038,27.636
Pdub_PdC95,29.712,30.511,30.671,30.671,26.997,27.476,28.275,26.997,27.316,27.316,26.997,27.157,28.754,28.914,27.316,27.316,27.316,27.476,27.157,27.476,28.115,27.955,27.955,29.073,27.636,38.818,36.741,36.741,38.179,36.581,27.476,29.233,26.677,0.0,20.288,24.601
Pput_PG-5,27.636,26.837,28.435,28.435,25.399,24.92,25.879,25.24,25.24,25.24,24.121,24.121,24.76,24.601,24.76,24.76,24.76,24.92,24.76,24.92,25.559,25.399,25.399,24.601,25.24,36.422,36.741,35.623,37.061,36.422,23.962,28.754,26.038,20.288,0.0,23.163
Pbuet_N06,29.712,30.511,29.073,29.073,24.601,24.76,26.677,24.281,24.92,24.92,24.281,24.121,26.038,25.399,25.08,25.08,25.08,25.24,25.08,25.24,25.559,25.399,25.399,25.719,24.441,35.623,34.345,35.623,35.463,33.387,26.038,27.316,27.636,24.601,23.163,0.0
