,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06
Plyn_TRB101-1,0.52,0.52,0.529,0.529,0.379,0.383,0.392,0.39,0.39,0.39,0.362,0.362,0.353,0.337,0.144,0.144,0.144,0.15,0.144,0.15,0.0,0.04,0.04,0.375,0.377,0.507,0.506,0.509,0.526,0.502,0.493,0.515,0.491,0.53,0.506,0.506
Plyn_TRB101-4,0.52,0.518,0.527,0.527,0.377,0.381,0.39,0.392,0.388,0.388,0.36,0.36,0.351,0.334,0.138,0.138,0.138,0.144,0.138,0.144,0.04,0.0,0.0,0.373,0.375,0.506,0.504,0.507,0.524,0.501,0.491,0.513,0.49,0.529,0.504,0.504
Plyn_ShKm41,0.52,0.518,0.527,0.527,0.377,0.381,0.39,0.392,0.388,0.388,0.36,0.36,0.351,0.334,0.138,0.138,0.138,0.144,0.138,0.144,0.04,0.0,0.0,0.373,0.375,0.506,0.504,0.507,0.524,0.501,0.491,0.513,0.49,0.529,0.504,0.504
Psp_FT8,0.536,0.532,0.535,0.535,0.385,0.39,0.396,0.39,0.373,0.373,0.353,0.351,0.366,0.357,0.371,0.371,0.371,0.373,0.366,0.371,0.375,0.373,0.373,0.0,0.398,0.485,0.501,0.481,0.51,0.483,0.478,0.517,0.496,0.539,0.496,0.507
Pgerm_GO1,0.526,0.521,0.536,0.536,0.41,0.402,0.423,0.427,0.421,0.421,0.396,0.398,0.39,0.385,0.366,0.366,0.366,0.368,0.366,0.366,0.377,0.375,0.375,0.398,0.0,0.526,0.532,0.524,0.547,0.524,0.478,0.507,0.498,0.526,0.502,0.494
Psept_227,0.638,0.633,0.613,0.613,0.504,0.509,0.502,0.526,0.518,0.518,0.502,0.506,0.509,0.499,0.509,0.509,0.509,0.51,0.507,0.51,0.507,0.506,0.506,0.485,0.526,0.0,0.44,0.411,0.434,0.438,0.575,0.602,0.596,0.623,0.604,0.597
Pdec_223,0.644,0.627,0.622,0.622,0.501,0.501,0.496,0.52,0.517,0.517,0.512,0.509,0.498,0.501,0.513,0.513,0.513,0.515,0.512,0.513,0.506,0.504,0.504,0.501,0.532,0.44,0.0,0.427,0.43,0.471,0.574,0.601,0.6,0.606,0.606,0.586
Psex_AZ8-4,0.631,0.623,0.611,0.611,0.49,0.493,0.49,0.507,0.501,0.501,0.473,0.47,0.478,0.478,0.506,0.506,0.506,0.507,0.506,0.506,0.509,0.507,0.507,0.481,0.524,0.411,0.427,0.0,0.454,0.445,0.569,0.583,0.59,0.606,0.597,0.597
Ptetr_51,0.636,0.626,0.631,0.631,0.507,0.506,0.496,0.524,0.523,0.523,0.504,0.501,0.493,0.499,0.524,0.524,0.524,0.526,0.521,0.524,0.526,0.524,0.524,0.51,0.547,0.434,0.43,0.454,0.0,0.456,0.589,0.605,0.605,0.622,0.613,0.6
Pjen_M,0.632,0.627,0.609,0.609,0.481,0.486,0.476,0.506,0.506,0.506,0.471,0.475,0.485,0.481,0.496,0.496,0.496,0.498,0.496,0.496,0.502,0.501,0.501,0.483,0.524,0.438,0.471,0.445,0.456,0.0,0.574,0.589,0.591,0.605,0.604,0.578
Ppol_TR-5,0.557,0.56,0.52,0.52,0.476,0.471,0.485,0.49,0.481,0.481,0.485,0.481,0.488,0.486,0.483,0.483,0.483,0.485,0.485,0.483,0.493,0.491,0.491,0.478,0.478,0.575,0.574,0.569,0.589,0.574,0.0,0.481,0.488,0.524,0.49,0.51
Pnephr_PnC72,0.572,0.578,0.544,0.544,0.521,0.518,0.539,0.532,0.523,0.523,0.504,0.504,0.515,0.515,0.51,0.51,0.51,0.512,0.509,0.51,0.515,0.513,0.513,0.517,0.507,0.602,0.601,0.583,0.605,0.589,0.481,0.0,0.502,0.541,0.536,0.523
Pcalk_GN5-1,0.567,0.567,0.523,0.523,0.502,0.501,0.52,0.507,0.502,0.502,0.496,0.496,0.502,0.491,0.478,0.478,0.478,0.48,0.48,0.478,0.491,0.49,0.49,0.496,0.498,0.596,0.6,0.59,0.605,0.591,0.488,0.502,0.0,0.517,0.51,0.526
Pdub_PdC95,0.545,0.552,0.554,0.554,0.52,0.524,0.532,0.52,0.523,0.523,0.52,0.521,0.536,0.538,0.523,0.523,0.523,0.524,0.521,0.524,0.53,0.529,0.529,0.539,0.526,0.623,0.606,0.606,0.622,0.605,0.524,0.541,0.517,0.0,0.45,0.496
Pput_PG-5,0.526,0.518,0.533,0.533,0.504,0.499,0.509,0.502,0.502,0.502,0.491,0.491,0.498,0.496,0.498,0.498,0.498,0.499,0.498,0.499,0.506,0.504,0.504,0.496,0.502,0.604,0.606,0.597,0.613,0.604,0.49,0.536,0.51,0.45,0.0,0.481
Pbuet_N06,0.545,0.552,0.539,0.539,0.496,0.498,0.517,0.493,0.499,0.499,0.493,0.491,0.51,0.504,0.501,0.501,0.501,0.502,0.501,0.502,0.506,0.504,0.504,0.507,0.494,0.597,0.586,0.597,0.6,0.578,0.51,0.523,0.526,0.496,0.481,0.0
