,Pmult_G1-2,Pmult_C7,Pmult_AMA5-7,Pmult_ISN-11,Pmult_C1(1),Pmult_ID1-13,Pmult_MSA-5,Pmult_AH1-5,Pmult_N16,Pmult_C6,Pmult_OmN-1,Pmult_R51-6,Pmult_SK6-3,Pmult_LB2,Pmult_C3(1),Pmult_C3(2),Pmult_SPb63-2,Pmult_BSP-7,Pmult_K4-2,Pmult_SMM80-11,Pmult_ChP10-2,Pmult_L72-1,Pmult_Peniche31,Pmult_Wg8,Pmult_CyP5-3,Pmult_ChP3-4,Pmult_ThK-16,Pmult_MB2-5,Pmult_OLI-Parame-mult-03,Pmult_C12,Pmult_Chp5-3,Pmult_E59-1B,Pmult_IP2-1,Pfok_SMM81-1,Pfok_T42-1,Pfok_AM,Pfok_M04,Pfok_BR,Pfok_strain12,Pfok_CyL3-21,Pfok_US_Bl_16I1,Pfok_PL4-1,Pfok_strain14,Pfok_N6,Pfok_OLI-Parame-mult-01,Pfok_OLI-Parame-mult-02
Pfok_T42-1,92.492,93.281,92.492,92.427,93.149,93.149,93.149,92.272,92.885,92.885,92.754,93.544,92.622,92.622,93.149,93.281,92.947,91.499,93.281,93.544,93.272,93.412,93.017,92.476,93.149,91.436,92.885,90.752,91.568,91.568,91.568,91.568,91.568,100.0,100.0,100.0,100.0,92.707,92.49,100.0,93.412,99.868,100.0,99.605,93.03,93.017
Pfok_AM,92.508,92.671,92.508,92.508,92.508,92.508,92.508,92.345,92.182,92.182,92.02,93.16,92.562,92.562,92.671,92.671,92.834,91.531,92.997,93.16,92.822,92.997,92.508,92.345,92.508,90.879,92.508,90.554,90.879,90.879,90.879,90.879,90.879,100.0,100.0,100.0,100.0,92.707,92.545,100.0,93.679,99.838,100.0,99.515,93.193,93.193
Pfok_M04,92.492,93.281,92.492,92.427,93.149,93.149,93.149,92.272,92.885,92.885,92.754,93.544,92.622,92.622,93.149,93.281,92.947,91.499,93.281,93.544,93.272,93.412,93.017,92.476,93.149,91.436,92.885,90.752,91.568,91.568,91.568,91.568,91.568,100.0,100.0,100.0,100.0,92.707,92.49,100.0,93.412,99.868,100.0,99.605,93.03,93.017
Pfok_BR,91.879,92.028,91.879,91.879,91.888,91.888,91.888,91.72,91.608,91.888,91.445,91.585,92.157,92.157,91.865,91.865,91.811,90.909,91.469,91.585,91.573,91.725,91.549,91.496,91.888,90.282,91.608,90.236,90.423,90.423,90.423,90.423,90.423,92.707,92.707,92.707,92.707,100.0,99.86,92.707,95.95,92.567,92.707,92.297,98.68,98.743
Pfok_strain12,91.72,91.984,91.72,91.834,91.853,91.853,91.853,91.68,91.59,91.853,91.568,91.7,91.974,91.974,91.7,91.831,91.654,90.895,91.459,91.7,91.689,91.831,91.568,91.339,91.853,90.25,91.59,90.079,90.382,90.382,90.382,90.382,90.382,92.49,92.49,92.545,92.49,99.86,100.0,92.49,95.784,92.358,92.613,92.105,98.578,98.682
Pfok_CyL3-21,92.492,93.281,92.492,92.427,93.149,93.149,93.149,92.272,92.885,92.885,92.754,93.544,92.622,92.622,93.149,93.281,92.947,91.499,93.281,93.544,93.272,93.412,93.017,92.476,93.149,91.436,92.885,90.752,91.568,91.568,91.568,91.568,91.568,100.0,100.0,100.0,100.0,92.707,92.49,100.0,93.412,99.868,100.0,99.605,93.03,93.017
Pfok_US_Bl_16I1,92.058,92.126,92.058,92.006,91.995,91.995,91.995,92.163,91.732,91.732,91.316,91.842,91.579,91.579,92.095,92.227,91.85,90.881,91.601,91.842,91.568,91.711,91.579,91.236,91.995,90.25,91.732,89.969,90.382,90.382,90.382,90.382,90.382,93.412,93.412,93.679,93.412,95.95,95.784,93.412,100.0,93.281,93.655,93.026,96.302,96.311
Pfok_PL4-1,92.492,93.281,92.492,92.427,93.149,93.149,93.149,92.272,92.885,92.885,92.754,93.544,92.622,92.622,93.149,93.281,92.947,91.499,93.281,93.544,93.272,93.412,93.017,92.476,93.149,91.436,92.885,90.752,91.568,91.568,91.568,91.568,91.568,99.868,99.868,99.838,99.868,92.567,92.358,99.868,93.281,100.0,99.863,99.474,92.888,92.885
Pfok_strain14,92.492,93.169,92.492,92.391,93.033,93.033,93.033,92.236,92.76,92.76,92.623,93.443,92.623,92.623,93.169,93.306,92.947,91.46,93.306,93.443,93.16,93.306,92.896,92.476,93.033,91.257,92.76,90.752,91.393,91.393,91.393,91.393,91.393,100.0,100.0,100.0,100.0,92.707,92.613,100.0,93.655,99.863,100.0,99.591,93.0,93.16
Pfok_N6,92.185,93.026,92.185,92.13,92.895,92.895,92.895,91.975,92.632,92.632,92.368,93.158,92.237,92.237,92.895,93.026,92.645,91.204,92.895,93.158,92.885,93.026,92.632,92.019,92.895,91.184,92.632,90.454,91.316,91.316,91.316,91.316,91.316,99.605,99.605,99.515,99.605,92.297,92.105,99.605,93.026,99.474,99.591,100.0,92.614,92.632
Pfok_OLI-Parame-mult-01,92.208,91.915,92.208,92.308,91.773,91.773,91.773,92.151,91.489,91.773,91.619,91.903,91.915,91.915,92.319,92.461,92.283,90.895,91.785,91.903,91.892,92.045,91.761,91.667,91.773,90.754,91.489,91.024,90.896,90.896,90.896,90.896,90.896,93.03,93.03,93.193,93.03,98.68,98.578,93.03,96.302,92.888,93.0,92.614,100.0,100.0
Pfok_OLI-Parame-mult-02,92.208,91.984,92.208,92.308,91.853,91.853,91.853,92.151,91.59,91.853,91.842,92.105,91.984,91.984,92.227,92.358,92.283,90.895,91.864,92.105,92.095,92.237,91.842,91.667,91.853,90.777,91.59,91.024,90.909,90.909,90.909,90.909,90.909,93.017,93.017,93.193,93.017,98.743,98.682,93.017,96.311,92.885,93.16,92.632,100.0,100.0
