,Pbur_K11-4B,Pbur_OLI,Pclor_HSG1-11,Pclor_Kon,Pmult_OmN-1,Pmult_CyP5-3,Pmult_ChP3-4,Pfok_strain12,Pfok_CyL3-21,Pfok_strain14,Pcaud_V-1,Pcaud_OR4-4,Pcaud_SH42,Pcaud_INL-1,Plyn_SD11-9,Plyn_V105-1,Plyn_PO16-1,Plyn_CB8-2,Plyn_HSG3-10,Plyn_SP-1,Plyn_TRB101-1,Plyn_TRB101-4,Plyn_ShKm41,Psp_FT8,Pgerm_GO1,Psept_227,Pdec_223,Psex_AZ8-4,Ptetr_51,Pjen_M,Ppol_TR-5,Pnephr_PnC72,Pcalk_GN5-1,Pdub_PdC95,Pput_PG-5,Pbuet_N06,Pmult_R51-6,Pmult_SK6-3,Pmult_C3,Pmult_ThK-16,Pmult_MB2-5,Pmult_IP2-1,Pfok_US_Bl_16I1,Pfok_N6
Pcaud_V-1,0.534,0.537,0.528,0.528,0.357,0.355,0.383,0.389,0.37,0.37,0.0,0.089,0.265,0.282,0.35,0.35,0.35,0.352,0.346,0.35,0.361,0.359,0.359,0.352,0.395,0.502,0.511,0.472,0.503,0.47,0.484,0.503,0.495,0.505,0.484,0.492,0.35,0.361,0.361,0.359,0.387,0.383,0.389,0.374
Pcaud_OR4-4,0.535,0.538,0.532,0.532,0.355,0.352,0.385,0.381,0.372,0.372,0.089,0.0,0.268,0.276,0.35,0.35,0.35,0.352,0.346,0.35,0.361,0.359,0.359,0.35,0.397,0.505,0.508,0.469,0.5,0.474,0.481,0.503,0.495,0.506,0.484,0.49,0.352,0.359,0.364,0.357,0.389,0.385,0.389,0.376
Pcaud_SH42,0.541,0.544,0.543,0.543,0.334,0.334,0.35,0.381,0.383,0.383,0.265,0.268,0.0,0.299,0.336,0.336,0.336,0.339,0.334,0.336,0.352,0.35,0.35,0.366,0.389,0.508,0.497,0.477,0.492,0.484,0.487,0.514,0.502,0.522,0.49,0.509,0.331,0.334,0.336,0.339,0.355,0.35,0.383,0.387
Pcaud_INL-1,0.54,0.535,0.529,0.529,0.359,0.366,0.381,0.381,0.379,0.379,0.282,0.276,0.299,0.0,0.329,0.329,0.329,0.331,0.331,0.329,0.336,0.334,0.334,0.357,0.385,0.498,0.5,0.477,0.498,0.481,0.485,0.514,0.49,0.519,0.494,0.503,0.357,0.366,0.355,0.37,0.385,0.381,0.374,0.383
Plyn_SD11-9,0.516,0.519,0.522,0.522,0.361,0.37,0.374,0.376,0.376,0.376,0.35,0.35,0.336,0.329,0.0,0.0,0.0,0.04,0.056,0.04,0.144,0.138,0.138,0.37,0.366,0.508,0.513,0.505,0.523,0.495,0.482,0.509,0.477,0.506,0.497,0.5,0.35,0.366,0.364,0.374,0.374,0.374,0.376,0.381
Plyn_V105-1,0.516,0.519,0.522,0.522,0.361,0.37,0.374,0.376,0.376,0.376,0.35,0.35,0.336,0.329,0.0,0.0,0.0,0.04,0.056,0.04,0.144,0.138,0.138,0.37,0.366,0.508,0.513,0.505,0.523,0.495,0.482,0.509,0.477,0.506,0.497,0.5,0.35,0.366,0.364,0.374,0.374,0.374,0.376,0.381
Plyn_PO16-1,0.516,0.519,0.522,0.522,0.361,0.37,0.374,0.376,0.376,0.376,0.35,0.35,0.336,0.329,0.0,0.0,0.0,0.04,0.056,0.04,0.144,0.138,0.138,0.37,0.366,0.508,0.513,0.505,0.523,0.495,0.482,0.509,0.477,0.506,0.497,0.5,0.35,0.366,0.364,0.374,0.374,0.374,0.376,0.381
Plyn_CB8-2,0.517,0.52,0.523,0.523,0.364,0.372,0.376,0.379,0.379,0.379,0.352,0.352,0.339,0.331,0.04,0.04,0.04,0.0,0.069,0.056,0.149,0.144,0.144,0.372,0.368,0.509,0.514,0.506,0.525,0.497,0.484,0.511,0.479,0.508,0.498,0.502,0.352,0.368,0.366,0.376,0.376,0.376,0.379,0.383
Plyn_HSG3-10,0.517,0.519,0.522,0.522,0.359,0.368,0.372,0.381,0.379,0.379,0.346,0.346,0.334,0.331,0.056,0.056,0.056,0.069,0.0,0.069,0.144,0.138,0.138,0.366,0.366,0.506,0.511,0.505,0.52,0.495,0.484,0.508,0.479,0.506,0.495,0.5,0.348,0.366,0.366,0.372,0.372,0.372,0.379,0.383
Plyn_SP-1,0.516,0.519,0.522,0.522,0.361,0.37,0.374,0.376,0.376,0.376,0.35,0.35,0.336,0.329,0.04,0.04,0.04,0.056,0.069,0.0,0.149,0.144,0.144,0.37,0.366,0.509,0.513,0.505,0.523,0.495,0.482,0.509,0.477,0.508,0.498,0.502,0.35,0.366,0.364,0.374,0.374,0.374,0.376,0.381
Plyn_TRB101-1,0.519,0.519,0.528,0.528,0.376,0.381,0.389,0.387,0.387,0.387,0.361,0.361,0.352,0.336,0.144,0.144,0.144,0.149,0.144,0.149,0.0,0.04,0.04,0.374,0.376,0.506,0.505,0.508,0.525,0.502,0.492,0.514,0.49,0.514,0.505,0.505,0.366,0.379,0.374,0.385,0.389,0.389,0.385,0.391
Plyn_TRB101-4,0.519,0.517,0.526,0.526,0.374,0.379,0.387,0.389,0.385,0.385,0.359,0.359,0.35,0.334,0.138,0.138,0.138,0.144,0.138,0.144,0.04,0.0,0.0,0.372,0.374,0.505,0.503,0.506,0.523,0.5,0.49,0.513,0.489,0.513,0.503,0.503,0.364,0.376,0.372,0.383,0.387,0.387,0.387,0.389
Plyn_ShKm41,0.519,0.517,0.526,0.526,0.374,0.379,0.387,0.389,0.385,0.385,0.359,0.359,0.35,0.334,0.138,0.138,0.138,0.144,0.138,0.144,0.04,0.0,0.0,0.372,0.374,0.505,0.503,0.506,0.523,0.5,0.49,0.513,0.489,0.513,0.503,0.503,0.364,0.376,0.372,0.383,0.387,0.387,0.387,0.389
Psp_FT8,0.535,0.531,0.534,0.534,0.383,0.387,0.393,0.387,0.37,0.37,0.352,0.35,0.366,0.357,0.37,0.37,0.37,0.372,0.366,0.37,0.374,0.372,0.372,0.0,0.397,0.484,0.5,0.481,0.509,0.482,0.477,0.516,0.495,0.529,0.492,0.506,0.368,0.385,0.383,0.391,0.393,0.393,0.387,0.374
Pgerm_GO1,0.525,0.52,0.535,0.535,0.407,0.399,0.42,0.424,0.419,0.419,0.395,0.397,0.389,0.385,0.366,0.366,0.366,0.368,0.366,0.366,0.376,0.374,0.374,0.397,0.0,0.525,0.531,0.523,0.546,0.523,0.477,0.506,0.497,0.529,0.497,0.494,0.399,0.409,0.397,0.403,0.42,0.42,0.422,0.422
Psept_227,0.637,0.632,0.612,0.612,0.502,0.506,0.5,0.523,0.516,0.516,0.502,0.505,0.508,0.498,0.508,0.508,0.508,0.509,0.506,0.509,0.506,0.505,0.505,0.484,0.525,0.0,0.439,0.411,0.433,0.437,0.574,0.601,0.595,0.619,0.606,0.596,0.5,0.511,0.5,0.508,0.503,0.5,0.525,0.519
Pdec_223,0.643,0.626,0.621,0.621,0.498,0.498,0.494,0.517,0.514,0.514,0.511,0.508,0.497,0.5,0.513,0.513,0.513,0.514,0.511,0.513,0.505,0.503,0.503,0.5,0.531,0.439,0.0,0.426,0.43,0.47,0.573,0.6,0.599,0.606,0.606,0.585,0.494,0.503,0.502,0.5,0.497,0.494,0.52,0.517
Psex_AZ8-4,0.63,0.622,0.61,0.61,0.487,0.49,0.487,0.505,0.498,0.498,0.472,0.469,0.477,0.477,0.505,0.505,0.505,0.506,0.505,0.505,0.508,0.506,0.506,0.481,0.523,0.411,0.426,0.0,0.453,0.444,0.569,0.582,0.589,0.603,0.6,0.596,0.489,0.492,0.492,0.492,0.49,0.487,0.516,0.502
Ptetr_51,0.635,0.625,0.63,0.63,0.505,0.503,0.494,0.522,0.52,0.52,0.503,0.5,0.492,0.498,0.523,0.523,0.523,0.525,0.52,0.523,0.525,0.523,0.523,0.509,0.546,0.433,0.43,0.453,0.0,0.455,0.588,0.604,0.604,0.614,0.613,0.599,0.503,0.5,0.513,0.505,0.497,0.494,0.522,0.523
Pjen_M,0.631,0.626,0.608,0.608,0.479,0.484,0.474,0.503,0.503,0.503,0.47,0.474,0.484,0.481,0.495,0.495,0.495,0.497,0.495,0.495,0.502,0.5,0.5,0.482,0.523,0.437,0.47,0.444,0.455,0.0,0.573,0.588,0.591,0.599,0.605,0.577,0.477,0.485,0.487,0.487,0.477,0.474,0.498,0.506
Ppol_TR-5,0.556,0.559,0.519,0.519,0.474,0.469,0.482,0.487,0.479,0.479,0.484,0.481,0.487,0.485,0.482,0.482,0.482,0.484,0.484,0.482,0.492,0.49,0.49,0.477,0.477,0.574,0.573,0.569,0.588,0.573,0.0,0.481,0.487,0.538,0.511,0.509,0.467,0.47,0.465,0.472,0.485,0.482,0.487,0.482
Pnephr_PnC72,0.571,0.577,0.543,0.543,0.519,0.516,0.537,0.529,0.52,0.52,0.503,0.503,0.514,0.514,0.509,0.509,0.509,0.511,0.508,0.509,0.514,0.513,0.513,0.516,0.506,0.601,0.6,0.582,0.604,0.588,0.481,0.0,0.502,0.564,0.538,0.522,0.519,0.516,0.517,0.519,0.538,0.537,0.535,0.523
Pcalk_GN5-1,0.566,0.566,0.522,0.522,0.5,0.498,0.517,0.505,0.5,0.5,0.495,0.495,0.502,0.49,0.477,0.477,0.477,0.479,0.479,0.477,0.49,0.489,0.489,0.495,0.497,0.595,0.599,0.589,0.604,0.591,0.487,0.502,0.0,0.523,0.52,0.525,0.498,0.508,0.498,0.502,0.517,0.517,0.505,0.503
Pdub_PdC95,0.557,0.556,0.571,0.571,0.498,0.503,0.516,0.498,0.505,0.505,0.505,0.506,0.522,0.519,0.506,0.506,0.506,0.508,0.506,0.508,0.514,0.513,0.513,0.529,0.529,0.619,0.606,0.603,0.614,0.599,0.538,0.564,0.523,0.0,0.45,0.508,0.492,0.5,0.498,0.506,0.519,0.516,0.506,0.508
Pput_PG-5,0.528,0.519,0.547,0.547,0.497,0.49,0.503,0.495,0.495,0.495,0.484,0.484,0.49,0.494,0.497,0.497,0.497,0.498,0.495,0.498,0.505,0.503,0.503,0.492,0.497,0.606,0.606,0.6,0.613,0.605,0.511,0.538,0.52,0.45,0.0,0.482,0.489,0.492,0.49,0.494,0.503,0.503,0.5,0.498
Pbuet_N06,0.544,0.551,0.538,0.538,0.494,0.495,0.514,0.49,0.497,0.497,0.492,0.49,0.509,0.503,0.5,0.5,0.5,0.502,0.5,0.502,0.505,0.503,0.503,0.506,0.494,0.596,0.585,0.596,0.599,0.577,0.509,0.522,0.525,0.508,0.482,0.0,0.489,0.497,0.494,0.498,0.516,0.514,0.49,0.5
Pmult_R51-6,0.541,0.526,0.54,0.54,0.106,0.191,0.203,0.291,0.262,0.262,0.35,0.352,0.331,0.357,0.35,0.35,0.35,0.352,0.348,0.35,0.366,0.364,0.364,0.368,0.399,0.5,0.494,0.489,0.503,0.477,0.467,0.519,0.498,0.492,0.489,0.489,0.0,0.155,0.178,0.2,0.211,0.203,0.288,0.268
Pmult_SK6-3,0.547,0.526,0.543,0.543,0.16,0.203,0.222,0.285,0.279,0.279,0.361,0.359,0.334,0.366,0.366,0.366,0.366,0.368,0.366,0.366,0.379,0.376,0.376,0.385,0.409,0.511,0.503,0.492,0.5,0.485,0.47,0.516,0.508,0.5,0.492,0.497,0.155,0.0,0.183,0.211,0.222,0.222,0.299,0.285
Pmult_C3,0.54,0.52,0.534,0.534,0.183,0.149,0.203,0.288,0.271,0.271,0.361,0.364,0.336,0.355,0.364,0.364,0.364,0.366,0.366,0.364,0.374,0.372,0.372,0.383,0.397,0.5,0.502,0.492,0.513,0.487,0.465,0.517,0.498,0.498,0.49,0.494,0.178,0.183,0.0,0.16,0.211,0.203,0.285,0.276
Pmult_ThK-16,0.541,0.522,0.537,0.537,0.219,0.056,0.226,0.293,0.279,0.279,0.359,0.357,0.339,0.37,0.374,0.374,0.374,0.376,0.372,0.374,0.385,0.383,0.383,0.391,0.403,0.508,0.5,0.492,0.505,0.487,0.472,0.519,0.502,0.506,0.494,0.498,0.2,0.211,0.16,0.0,0.233,0.226,0.296,0.285
Pmult_MB2-5,0.557,0.535,0.547,0.547,0.222,0.226,0.056,0.317,0.307,0.307,0.387,0.389,0.355,0.385,0.374,0.374,0.374,0.376,0.372,0.374,0.389,0.387,0.387,0.393,0.42,0.503,0.497,0.49,0.497,0.477,0.485,0.538,0.517,0.519,0.503,0.516,0.211,0.222,0.211,0.233,0.0,0.056,0.319,0.312
Pmult_IP2-1,0.557,0.535,0.546,0.546,0.215,0.219,0.0,0.317,0.301,0.301,0.383,0.385,0.35,0.381,0.374,0.374,0.374,0.376,0.372,0.374,0.389,0.387,0.387,0.393,0.42,0.5,0.494,0.487,0.494,0.474,0.482,0.537,0.517,0.516,0.503,0.514,0.203,0.222,0.203,0.226,0.056,0.0,0.319,0.307
Pfok_US_Bl_16I1,0.554,0.526,0.55,0.55,0.307,0.291,0.319,0.2,0.249,0.249,0.389,0.389,0.383,0.374,0.376,0.376,0.376,0.379,0.379,0.376,0.385,0.387,0.387,0.387,0.422,0.525,0.52,0.516,0.522,0.498,0.487,0.535,0.505,0.506,0.5,0.49,0.288,0.299,0.285,0.296,0.319,0.319,0.0,0.256
Pfok_N6,0.553,0.522,0.551,0.551,0.288,0.279,0.307,0.276,0.056,0.056,0.374,0.376,0.387,0.383,0.381,0.381,0.381,0.383,0.383,0.381,0.391,0.389,0.389,0.374,0.422,0.519,0.517,0.502,0.523,0.506,0.482,0.523,0.503,0.508,0.498,0.5,0.268,0.285,0.276,0.285,0.312,0.307,0.256,0.0
